New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Interacting Proteins	Pathogen Taxon	Disease	Host Taxon	Host Target Protein	Cotyledons	Tissue	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	Inducer CAS IDs	Inducer ChEBI IDs	Anti-Infectives	Anti-Infective CAS IDs	Anti-Infective ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Host Response	Experiment Specifications	Curators	Approver	Species Experts	PubMed IDs	Curation Date
PHI:I1424	PHI:1444	I1RHM1	GzGATA002	FGSG_03281	Uncharacterized protein	DS231664		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0043565:sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1425	PHI:1445	I1RL45	GzGATA003	FGSG_04626	Uncharacterized protein	DS231664		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0043565:sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1426	PHI:1446	I1RUE0	GzGATA004	FGSG_07830	Uncharacterized protein	DS231666		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0043565:sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1427	PHI:1447	I1RUP1	GzGATA005	FGSG_07941	White collar 1 protein	DS231666		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0043565:sequence-specific DNA binding [GO:0043565]; GO:0003700: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0004871: signal transducer activity [GO:0004871]; GO:0008270: zinc ion binding [GO:0008270]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1428	PHI:1448	I1RWG5	GzGATA006	FGSG_08634	Nitrogen regulatory protein areA	DS231667		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0000978:cell division site [GO:0032153]; GO:0001077: cytosol [GO:0005829]; GO:0001076: nucleus [GO:0005634]; GO:0032153: RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; GO:0005829: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription [GO:0001077]; GO:1902625: RNA polymerase II transcription factor binding transcription factor activity [GO:0001076]; GO:0001080: zinc ion binding [GO:0008270]; GO:0005634: negative regulation of induction of conjugation with cellular fusion by negative regulation of transcription from RNA polymerase II promoter [GO:1902625]; GO:0008270: nitrogen catabolite activation of transcription from RNA polymerase II promoter [GO:0001080]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type;Sexual Spores:Defective																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1429	PHI:1449	I1RYV4	GzGATA007	FGSG_09565	Uncharacterized protein	DS231668		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0000978:nucleus [GO:0005634]; GO:0001078: RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; GO:0090375: RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription [GO:0001078]; GO:0005634: zinc ion binding [GO:0008270]; GO:1900393: negative regulation of transcription from RNA polymerase II promoter in response to iron ion starvation [GO:0090375]; GO:0006366: regulation of iron ion transport by regulation of transcription from RNA polymerase II promoter [GO:1900393]; GO:0008270: transcription from RNA polymerase II promoter [GO:0006366]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1430	PHI:1450	I1RM88	GzGATA008	FGSG_05073	GATA type zinc finger protein Asd4	DS231665		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot				POO:0000006:lethal																	ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1431	PHI:1451	I1RQL1	GzGH	FGSG_06356	Uncharacterized protein	DS231665		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot				POO:0000003:unaffected pathogenicity	Sexual Spores:Increased;In Vitro Growth:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1432	PHI:1452	I1S282	GzHSF003	FGSG_10868	Uncharacterized protein	DS231670		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0000978:nucleus [GO:0005634]; GO:0016458: RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; GO:0060257: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:1900460: gene silencing [GO:0016458]; GO:1900462: negative regulation of flocculation [GO:0060257]; GO:0005634: negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter [GO:1900460]; GO:0045944: negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter [GO:1900462]; GO:0003700: positive regulation of transcription from RNA polymerase II promoter [GO:0045944]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1433	PHI:1453	I1RA50	GzAra001	FGSG_00374	Uncharacterized protein	DS231663		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0070197:integral component of nuclear inner membrane [GO:0005639]; GO:0072766: mitotic spindle pole body [GO:0044732]; GO:0005639: attachment of telomere to nuclear envelope [GO:0070197]; GO:0044732: centromere clustering at the nuclear envelope [GO:0072766]; GO:0071765: nuclear inner membrane organization [GO:0071765]		POO:0000006:lethal																	ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1434	PHI:1454	I1RCI0	GzAra002	FGSG_01295	Uncharacterized protein	DS231663		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0016021:integral component of membrane [GO:0016021]; GO:0022857: transmembrane transporter activity [GO:0022857]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1435	PHI:1455	I1RKU6	GzAra003	FGSG_04516	Uncharacterized protein	DS231664		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0016772:transferase activity, transferring phosphorus-containing groups [GO:0016772]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1436	PHI:1456	I1RN15	GzAra004	FGSG_05373	Uncharacterized protein	DS231665		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1437	PHI:1457	I1RRR9	GzAra005	FGSG_06805	Uncharacterized protein	DS231666		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0003824:catalytic activity [GO:0003824]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1438	PHI:1458	Q4I7F9	GzAra006	PRP28;FGSG_06849	Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13)	DS231666		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0005524:cytoplasm [GO:0005737]; GO:0008380: U5 snRNP [GO:0005682]; GO:0005682: ATP binding [GO:0005524]; GO:0005737: helicase activity [GO:0004386]; GO:0004386: nucleic acid binding [GO:0003676]; GO:0006397: mRNA processing [GO:0006397]; GO:0003676: RNA splicing [GO:0008380]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1439	PHI:1459	I1RYE2	GzAra007	FGSG_09389	Uncharacterized protein	DS231668		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0006281:methyltransferase activity [GO:0008168]; GO:0008168: sequence-specific DNA binding [GO:0043565]; GO:0043565: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0003700: zinc ion binding [GO:0008270]; GO:0008270: DNA repair [GO:0006281]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1440	PHI:1460	I1S2F6	GzAra008	FGSG_10948	Uncharacterized protein	DS231670		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot				POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1441	PHI:1461	I1RA31	GzCCAAT001	FGSG_00352	Uncharacterized protein	DS231663		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0016602:CCAAT-binding factor complex [GO:0016602]; GO:0000436: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0043457: carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; GO:0003700: regulation of cellular respiration [GO:0043457]; GO:0006366: transcription from RNA polymerase II promoter [GO:0006366]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1442	PHI:1462	I1RC79	GzCCAAT002	FGSG_01182	Uncharacterized protein	DS231663		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0043044:CHRAC [GO:0008623]; GO:0008623: cytosol [GO:0005829]; GO:0003887: epsilon DNA polymerase complex [GO:0008622]; GO:0031490: nuclear chromatin [GO:0000790]; GO:0006348: nucleosome [GO:0000786]; GO:0005829: chromatin DNA binding [GO:0031490]; GO:0003690: DNA-directed DNA polymerase activity [GO:0003887]; GO:0008622: double-stranded DNA binding [GO:0003690]; GO:0042276: sequence-specific DNA binding [GO:0043565]; GO:0070868: ATP-dependent chromatin remodeling [GO:0043044]; GO:0006273: chromatin silencing at telomere [GO:0006348]; GO:0006272: error-prone translesion synthesis [GO:0042276]; GO:1902975: heterochromatin organization involved in chromatin silencing [GO:0070868]; GO:0000790: lagging strand elongation [GO:0006273]; GO:0000786: leading strand elongation [GO:0006272]; GO:0042766: mitotic DNA replication initiation [GO:1902975]; GO:0090399: nucleosome mobilization [GO:0042766]; GO:0043565: replicative senescence [GO:0090399]		POO:0000002:reduced virulence	In Vitro Growth:Reduced;Vegetative Spores:Reduced;Sexual Spores:Defective																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1443	PHI:1463	I1RFW6	GzCCAAT003	FGSG_02608	Uncharacterized protein	DS231663		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0016602:CCAAT-binding factor complex [GO:0016602]; GO:0000436: cytoplasm [GO:0005737]; GO:0005737: sequence-specific DNA binding [GO:0043565]; GO:0043457: sequence-specific DNA binding transcription factor activity [GO:0003700]; GO:0043565: carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; GO:0003700: regulation of cellular respiration [GO:0043457]; GO:0006366: transcription from RNA polymerase II promoter [GO:0006366]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Vegetative Spores:Wild Type;Sexual Spores:Reduced																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1444	PHI:1464	I1RMV4	GzCCAAT004	FGSG_05304	Uncharacterized protein	DS231665		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0005634:nucleus [GO:0005634]; GO:0043565: sequence-specific DNA binding [GO:0043565]		POO:0000002:reduced virulence	Vegetative Spores:Wild Type;In Vitro Growth:Reduced;Sexual Spores:Defective																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1445	PHI:1465	I1RNC6	GzCCAAT005	FGSG_05498	Uncharacterized protein	DS231665		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0001129:cytosol [GO:0005829]; GO:0003682: negative cofactor 2 complex [GO:0017054]; GO:0001047: chromatin binding [GO:0003682]; GO:0005829: core promoter binding [GO:0001047]; GO:1902969: sequence-specific DNA binding [GO:0043565]; GO:0017054: TBP-class protein binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly [GO:0001129]; GO:0000122: transcription coactivator activity [GO:0003713]; GO:0061408: transcription corepressor activity [GO:0003714]; GO:0043565: mitotic DNA replication [GO:1902969]; GO:0003713: negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; GO:0003714: positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1446	PHI:1466	I1RSG9	GzCCAAT006	FGSG_07087	Uncharacterized protein	DS231666		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0016602:CCAAT-binding factor complex [GO:0016602]; GO:0000436: sequence-specific DNA binding [GO:0043565]; GO:0043457: carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; GO:0043565: regulation of cellular respiration [GO:0043457]; GO:0006366: transcription from RNA polymerase II promoter [GO:0006366]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
PHI:I1447	PHI:1467	I1RXZ0	GzCCAAT007	FGSG_09217	Uncharacterized protein	DS231668		229533:Fusarium graminearum PH-1		4564:Triticum		Monocot		GO:0001129:cytosol [GO:0005829]; GO:0003682: negative cofactor 2 complex [GO:0017054]; GO:0001047: chromatin binding [GO:0003682]; GO:0005829: core promoter binding [GO:0001047]; GO:0017054: sequence-specific DNA binding [GO:0043565]; GO:1900446: TBP-class protein binding RNA polymerase II transcription factor activity involved in preinitiation complex assembly [GO:0001129]; GO:0000122: transcription coactivator activity [GO:0003713]; GO:0061408: transcription corepressor activity [GO:0003714]; GO:0045898: negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; GO:0043565: negative regulation of tRNA transcription from RNA polymerase III promoter [GO:1900446]; GO:0003713: positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; GO:0003714: regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045898]		POO:0000003:unaffected pathogenicity	In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type																ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		Martin Urban	22028654: Son H, Seo YS, Min K, Park AR, Lee J, Jin JM, Lin Y, Cao P, Hong SY, Kim EK, Lee SH, Cho A, Lee S, Kim MG, Kim Y, Kim JE, Kim JC, Choi GJ, Yun SH, Lim JY, Kim M, Lee YH, Choi YD, Lee YW. (2011). "A phenome-based functional analysis of transcription factors in the cereal head blight fungus, Fusarium graminearum." PLoS Pathog 7(10): e1002310. 10.1371/journal.ppat.1002310.	2015-09-01
