
UniProt accession:I1RAE5
GO ID	Go Term	GO Evidence Code
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q5AD07
GO ID	Go Term	GO Evidence Code
GO:0006801	superoxide metabolic process	IEA	
GO:0006801	superoxide metabolic process	IDA	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0019430	removal of superoxide radicals	IBA	
GO:0020012	evasion or tolerance of host immune response	IMP	
GO:0034599	cellular response to oxidative stress	IMP	
GO:0052059	evasion or tolerance by symbiont of host-produced reactive oxygen species	IMP	
GO:0055114	oxidation-reduction process	IEA	
GO:0071451	cellular response to superoxide	IMP	

UniProt accession:B0XVF7
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q5ALT5
GO ID	Go Term	GO Evidence Code
GO:0030447	filamentous growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0043410	positive regulation of MAPK cascade	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:1900233	positive regulation of single-species biofilm formation on inanimate substrate	IMP	
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms	IMP	

UniProt accession:C5MK57
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:B0RPP4
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:A4ULJ0
GO ID	Go Term	GO Evidence Code
GO:0006696	ergosterol biosynthetic process	IEA	
GO:0032259	methylation	IEA	
GO:0055114	oxidation-reduction process	IEA	
GO:0070988	demethylation	IEA	

UniProt accession:Q96VL9
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0008152	metabolic process	IEA	
GO:0055085	transmembrane transport	IEA	

UniProt accession:Q4WPQ8
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006357	regulation of transcription from RNA polymerase II promoter	IEA	
GO:0006366	transcription from RNA polymerase II promoter	IEA	
GO:0030163	protein catabolic process	IMP	
GO:0042176	regulation of protein catabolic process	IMP	
GO:0045893	positive regulation of transcription, DNA-templated	IMP	

UniProt accession:I1RQS1
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:P30599
GO ID	Go Term	GO Evidence Code
GO:0006031	chitin biosynthetic process	IEA	
GO:0071555	cell wall organization	IEA	

UniProt accession:P43076
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	

UniProt accession:O59928
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0006032	chitin catabolic process	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:G4N9C8
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:Q8Z6M7
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	
GO:0046903	secretion	IEA	

UniProt accession:C1KJH7
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:I1RFC7
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:I1RA20
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q9KTE2
GO ID	Go Term	GO Evidence Code
GO:0006364	rRNA processing	IEA	
GO:0006508	proteolysis	IEA	
GO:0008150	biological_process	ND	
GO:0042254	ribosome biogenesis	IEA	
GO:0090305	nucleic acid phosphodiester bond hydrolysis	IEA	
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	IEA	

UniProt accession:J7H173
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q9Z4T0
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:G4N4Y2
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:Q59SR6
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0044406	adhesion of symbiont to host	IMP	

UniProt accession:Q4PBY9
GO ID	Go Term	GO Evidence Code
GO:0055085	transmembrane transport	IEA	

UniProt accession:Q1KSF2
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q59RR0
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0007155	cell adhesion	IEA	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0010811	positive regulation of cell-substrate adhesion	IMP	
GO:0030447	filamentous growth	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0036171	filamentous growth of a population of unicellular organisms in response to chemical stimulus	IMP	
GO:0043709	cell adhesion involved in single-species biofilm formation	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:0044407	single-species biofilm formation in or on host organism	IGI	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IMP	
GO:0071555	cell wall organization	IEA	
GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation	IMP	
GO:1900439	positive regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus	IMP	

UniProt accession:A8YPP2
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:N0A4X7
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:I1S095
GO ID	Go Term	GO Evidence Code
GO:0006184	GTP catabolic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0007264	small GTPase mediated signal transduction	IEA	

UniProt accession:I1RLX6
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:B6E223
GO ID	Go Term	GO Evidence Code
GO:0006696	ergosterol biosynthetic process	IEA	
GO:0032259	methylation	IEA	
GO:0055114	oxidation-reduction process	IEA	
GO:0070988	demethylation	IEA	

UniProt accession:Q8Z6M4
GO ID	Go Term	GO Evidence Code
GO:0009306	protein secretion	IEA	

UniProt accession:I1S0Y9
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q5NIC0
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0016311	dephosphorylation	IEA	

UniProt accession:P54698
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0050896	response to stimulus	IEA	

UniProt accession:G4MS40
GO ID	Go Term	GO Evidence Code
GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	IEA	

UniProt accession:Q9UWF6
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0006644	phospholipid metabolic process	IMP	
GO:0008152	metabolic process	IEA	
GO:0009395	phospholipid catabolic process	IEA	
GO:0009405	pathogenesis	IMP	
GO:0016042	lipid catabolic process	IEA	
GO:0044001	migration in host	IMP	

UniProt accession:P12383
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006366	transcription from RNA polymerase II promoter	IEA	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IMP	
GO:2001040	positive regulation of cellular response to drug	IMP	
GO:2001040	positive regulation of cellular response to drug	IGI	

UniProt accession:Q6FLU4
GO ID	Go Term	GO Evidence Code
GO:0006402	mRNA catabolic process	IMP	
GO:0009405	pathogenesis	IMP	
GO:0031505	fungal-type cell wall organization	IMP	
GO:0034976	response to endoplasmic reticulum stress	IMP	
GO:0035690	cellular response to drug	IMP	
GO:0044117	growth of symbiont in host	IMP	
GO:0055074	calcium ion homeostasis	IMP	
GO:0070370	cellular heat acclimation	IMP	

UniProt accession:G5EI17
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	

UniProt accession:Q9HFT9
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q6Q475
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:B5G4W2
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006357	regulation of transcription from RNA polymerase II promoter	IEA	
GO:0006366	transcription from RNA polymerase II promoter	IEA	
GO:0045122	aflatoxin biosynthetic process	IEA	

UniProt accession:Q9P8P2
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0009395	phospholipid catabolic process	IEA	
GO:0016042	lipid catabolic process	IEA	

UniProt accession:G4NEF1
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IMP	
GO:0009847	spore germination	IMP	
GO:0030437	ascospore formation	IMP	

UniProt accession:G1UB67
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0009405	pathogenesis	IEA	
GO:0030447	filamentous growth	IMP	
GO:0043709	cell adhesion involved in single-species biofilm formation	IMP	
GO:0044011	single-species biofilm formation on inanimate substrate	IMP	
GO:0044114	development of symbiont in host	IMP	
GO:0044182	filamentous growth of a population of unicellular organisms	IMP	
GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation	IMP	
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms	IMP	

UniProt accession:I1RKH9
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q4X0M4
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0015031	protein transport	IEA	
GO:0016192	vesicle-mediated transport	IEA	

UniProt accession:O14439
GO ID	Go Term	GO Evidence Code
GO:0006596	polyamine biosynthetic process	IEA	

UniProt accession:I1RAE2
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:O14448
GO ID	Go Term	GO Evidence Code
GO:0001932	regulation of protein phosphorylation	IEA	
GO:0045859	regulation of protein kinase activity	IEA	

UniProt accession:A4ULI5
GO ID	Go Term	GO Evidence Code
GO:0006696	ergosterol biosynthetic process	IEA	
GO:0032259	methylation	IEA	
GO:0055114	oxidation-reduction process	IEA	
GO:0070988	demethylation	IEA	

UniProt accession:P49606
GO ID	Go Term	GO Evidence Code
GO:0006171	cAMP biosynthetic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0009190	cyclic nucleotide biosynthetic process	IEA	
GO:0035556	intracellular signal transduction	IEA	

UniProt accession:Q52378
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:G4MRS8
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0009405	pathogenesis	IMP	
GO:0009847	spore germination	IMP	
GO:0043581	mycelium development	IEP	

UniProt accession:Q2FYP3
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:G4MZD0
GO ID	Go Term	GO Evidence Code
GO:0007165	signal transduction	IEA	

UniProt accession:I1RC85
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:G4NF12
GO ID	Go Term	GO Evidence Code
GO:0038032	termination of G-protein coupled receptor signaling pathway	IEA	

UniProt accession:I1RUG2
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q5H3L0
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	
GO:0023014	signal transduction by phosphorylation	IEA	

UniProt accession:D7I066
GO ID	Go Term	GO Evidence Code
GO:0000160	phosphorelay signal transduction system	IEA	

UniProt accession:Q48245
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IEA	

UniProt accession:Q0UA24
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:E1WEX6
GO ID	Go Term	GO Evidence Code
GO:0018193	peptidyl-amino acid modification	IEA	

UniProt accession:Q5BUB4
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:Q4WCZ1
GO ID	Go Term	GO Evidence Code
GO:0006526	arginine biosynthetic process	IEA	
GO:0006526	arginine biosynthetic process	IMP	
GO:0016310	phosphorylation	IEA	
GO:0055114	oxidation-reduction process	IEA	
GO:1900706	positive regulation of siderophore biosynthetic process	IMP	

UniProt accession:Q92410
GO ID	Go Term	GO Evidence Code
GO:0005992	trehalose biosynthetic process	IEA	
GO:0005992	trehalose biosynthetic process	IMP	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0016311	dephosphorylation	IMP	
GO:0030447	filamentous growth	IMP	
GO:0034599	cellular response to oxidative stress	IMP	
GO:0034605	cellular response to heat	IMP	
GO:0036168	filamentous growth of a population of unicellular organisms in response to heat	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0060257	negative regulation of flocculation	IMP	
GO:0071470	cellular response to osmotic stress	IMP	

UniProt accession:G4MS58
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	
GO:0009405	pathogenesis	IMP	
GO:0030437	ascospore formation	IMP	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:B2SNI2
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	

UniProt accession:Q5A5U4
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0031505	fungal-type cell wall organization	IMP	

UniProt accession:Q8NK75
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:G4NI28
GO ID	Go Term	GO Evidence Code
GO:0006812	cation transport	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:G4N1Y8
GO ID	Go Term	GO Evidence Code
GO:0000272	polysaccharide catabolic process	IEA	
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	

UniProt accession:Q5AP95
GO ID	Go Term	GO Evidence Code
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	IMP	
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006879	cellular iron ion homeostasis	IMP	
GO:0033217	regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	IGI	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IMP	
GO:0071280	cellular response to copper ion	IMP	
GO:0071281	cellular response to iron ion	IMP	

UniProt accession:Q5NFZ7
GO ID	Go Term	GO Evidence Code
GO:0016311	dephosphorylation	IEA	

UniProt accession:Q59PJ5
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0031669	cellular response to nutrient levels	IMP	
GO:0034605	cellular response to heat	IMP	
GO:0036168	filamentous growth of a population of unicellular organisms in response to heat	IMP	
GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0036187	cell growth mode switching, budding to filamentous	IMP	
GO:0036244	cellular response to neutral pH	IMP	
GO:0043090	amino acid import	IMP	
GO:1900436	positive regulation of filamentous growth of a population of unicellular organisms in response to starvation	IMP	

UniProt accession:G4MQ72
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IMP	
GO:0030437	ascospore formation	IMP	
GO:0048315	conidium formation	IMP	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:I1RQI2
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q889C0
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:P59206
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0071555	cell wall organization	IEA	

UniProt accession:Q4PHG7
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	

UniProt accession:Q5A4N7
GO ID	Go Term	GO Evidence Code
GO:0030447	filamentous growth	IMP	
GO:0044117	growth of symbiont in host	IMP	

UniProt accession:G2XD29
GO ID	Go Term	GO Evidence Code
GO:0055085	transmembrane transport	IEA	

UniProt accession:G8DNT1
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009085	lysine biosynthetic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q9HFU3
GO ID	Go Term	GO Evidence Code
GO:0000413	protein peptidyl-prolyl isomerization	IEA	
GO:0006457	protein folding	IEA	

UniProt accession:Q520U5
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0006914	autophagy	IEA	
GO:0015031	protein transport	IEA	

UniProt accession:Q59UY7
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006357	regulation of transcription from RNA polymerase II promoter	IMP	
GO:0006366	transcription from RNA polymerase II promoter	IEA	
GO:0006879	cellular iron ion homeostasis	IMP	
GO:0009062	fatty acid catabolic process	ISA	
GO:0009062	fatty acid catabolic process	IMP	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0010811	positive regulation of cell-substrate adhesion	IMP	
GO:0030447	filamentous growth	IMP	
GO:0033212	iron assimilation	IMP	
GO:0044011	single-species biofilm formation on inanimate substrate	IMP	
GO:0044117	growth of symbiont in host	IMP	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	ISA	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IGI	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IMP	
GO:0071280	cellular response to copper ion	IMP	
GO:0071469	cellular response to alkaline pH	IMP	
GO:1900189	positive regulation of cell adhesion involved in single-species biofilm formation	IMP	

UniProt accession:Q7Z8E9
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	
GO:0019236	response to pheromone	IEA	

UniProt accession:Q5APP3
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	IMP	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IDA	

UniProt accession:Q30E79
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	

UniProt accession:C0H5W5
GO ID	Go Term	GO Evidence Code
GO:0001932	regulation of protein phosphorylation	IEA	
GO:0045859	regulation of protein kinase activity	IEA	

UniProt accession:Q4WY82
GO ID	Go Term	GO Evidence Code
GO:0001516	prostaglandin biosynthetic process	IEA	
GO:0001516	prostaglandin biosynthetic process	IMP	
GO:0006629	lipid metabolic process	IEA	
GO:0006631	fatty acid metabolic process	IEA	
GO:0006633	fatty acid biosynthetic process	IEA	
GO:0006693	prostaglandin metabolic process	IEA	
GO:0006979	response to oxidative stress	IEA	
GO:0042744	hydrogen peroxide catabolic process	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q59WI6
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0009405	pathogenesis	IMP	
GO:0031930	mitochondria-nucleus signaling pathway	IEA	
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	IDA	

UniProt accession:G4MWU9
GO ID	Go Term	GO Evidence Code
GO:0006629	lipid metabolic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0016042	lipid catabolic process	IEA	
GO:0035556	intracellular signal transduction	IEA	

UniProt accession:G4MZ47
GO ID	Go Term	GO Evidence Code
GO:0008150	biological_process	ND	
GO:0055085	transmembrane transport	IEA	

UniProt accession:P83774
GO ID	Go Term	GO Evidence Code
GO:0001403	invasive growth in response to glucose limitation	IMP	
GO:0007155	cell adhesion	IMP	
GO:0007186	G-protein coupled receptor signaling pathway	IGI	
GO:0007186	G-protein coupled receptor signaling pathway	ISA	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036178	filamentous growth of a population of unicellular organisms in response to neutral pH	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0036244	cellular response to neutral pH	IMP	
GO:0050790	regulation of catalytic activity	IGI	

UniProt accession:Q4IB89
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0006974	cellular response to DNA damage stimulus	IEA	
GO:0016310	phosphorylation	IEA	
GO:0016568	chromatin modification	IEA	

UniProt accession:Q96WM3
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0006811	ion transport	IEA	
GO:0015991	ATP hydrolysis coupled proton transport	IEA	
GO:0015992	proton transport	IEA	

UniProt accession:I1RWG6
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:G4MQB0
GO ID	Go Term	GO Evidence Code
GO:0007165	signal transduction	IEA	
GO:0043547	positive regulation of GTPase activity	IEA	

UniProt accession:O74686
GO ID	Go Term	GO Evidence Code
GO:0006221	pyrimidine nucleotide biosynthetic process	IEA	
GO:0009116	nucleoside metabolic process	IEA	

UniProt accession:Q5EGQ1
GO ID	Go Term	GO Evidence Code
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0007165	signal transduction	IEA	

UniProt accession:A4ZGP3
GO ID	Go Term	GO Evidence Code
GO:0055085	transmembrane transport	IEA	

UniProt accession:G8DNT2
GO ID	Go Term	GO Evidence Code
GO:0009059	macromolecule biosynthetic process	IEA	

UniProt accession:G4MPQ7
GO ID	Go Term	GO Evidence Code
GO:0000272	polysaccharide catabolic process	IEA	
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0045493	xylan catabolic process	IEA	

UniProt accession:C3VHN8
GO ID	Go Term	GO Evidence Code
GO:0006508	proteolysis	IEA	

UniProt accession:P52751
GO ID	Go Term	GO Evidence Code
GO:0009405	pathogenesis	RCA	
GO:0052051	interaction with host via protein secreted by type II secretion system	IDA	

UniProt accession:O59924
GO ID	Go Term	GO Evidence Code
GO:0006801	superoxide metabolic process	IEA	
GO:0019430	removal of superoxide radicals	IEA	
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:Q59Z29
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	ISS	
GO:0006879	cellular iron ion homeostasis	IMP	
GO:0007155	cell adhesion	IEA	
GO:0007155	cell adhesion	IMP	
GO:0009267	cellular response to starvation	IMP	
GO:0009405	pathogenesis	IEA	
GO:0009405	pathogenesis	IMP	
GO:0030447	filamentous growth	IMP	
GO:0034599	cellular response to oxidative stress	IMP	
GO:0036086	positive regulation of transcription from RNA polymerase II promoter in response to iron ion starvation	IMP	
GO:0036170	filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:0036180	filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	
GO:0036267	invasive filamentous growth	IMP	
GO:1900436	positive regulation of filamentous growth of a population of unicellular organisms in response to starvation	IMP	
GO:1900445	positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus	IMP	

UniProt accession:P50601
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	
GO:0015031	protein transport	IEA	
GO:0017038	protein import	IEA	

UniProt accession:W0H866
GO ID	Go Term	GO Evidence Code
GO:0015074	DNA integration	IEA	

UniProt accession:P0CL08
GO ID	Go Term	GO Evidence Code
GO:0006351	transcription, DNA-templated	IEA	
GO:0006355	regulation of transcription, DNA-templated	IEA	

UniProt accession:I1RC35
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:I1RNF9
GO ID	Go Term	GO Evidence Code
GO:0006184	GTP catabolic process	IEA	
GO:0007165	signal transduction	IEA	
GO:0007186	G-protein coupled receptor signaling pathway	IEA	
GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway	IEA	

UniProt accession:I1RAA6
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	

UniProt accession:Q5A753
GO ID	Go Term	GO Evidence Code
GO:0009272	fungal-type cell wall biogenesis	IMP	

UniProt accession:A0A024CHY2
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0009058	biosynthetic process	IEA	

UniProt accession:G4N7H1
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:C6L683
GO ID	Go Term	GO Evidence Code
GO:0006468	protein phosphorylation	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q75WC5
GO ID	Go Term	GO Evidence Code
GO:0006259	DNA metabolic process	IEA	
GO:0006261	DNA-dependent DNA replication	IEA	
GO:0006265	DNA topological change	IEA	

UniProt accession:Q4WF54
GO ID	Go Term	GO Evidence Code
GO:0006696	ergosterol biosynthetic process	IMP	
GO:0008152	metabolic process	IEA	
GO:0009405	pathogenesis	IMP	
GO:0010106	cellular response to iron ion starvation	IMP	
GO:0070301	cellular response to hydrogen peroxide	IMP	
GO:1900551	N',N'',N'''-triacetylfusarinine C biosynthetic process	IMP	

UniProt accession:Q00351
GO ID	Go Term	GO Evidence Code
GO:0005975	carbohydrate metabolic process	IEA	
GO:0008152	metabolic process	IEA	
GO:0045493	xylan catabolic process	IEA	

UniProt accession:B0XTA5
GO ID	Go Term	GO Evidence Code
GO:0055114	oxidation-reduction process	IEA	

UniProt accession:G4N6G5
GO ID	Go Term	GO Evidence Code
GO:0038032	termination of G-protein coupled receptor signaling pathway	IEA	

UniProt accession:D7I656
GO ID	Go Term	GO Evidence Code
GO:0006810	transport	IEA	

UniProt accession:Q96X32
GO ID	Go Term	GO Evidence Code
GO:0007165	signal transduction	IEA	
GO:0016310	phosphorylation	IEA	

UniProt accession:Q9C2Y4
GO ID	Go Term	GO Evidence Code
GO:0008152	metabolic process	IEA	
GO:0015914	phospholipid transport	IEA	
GO:0045332	phospholipid translocation	IEA	

UniProt accession:P57051
GO ID	Go Term	GO Evidence Code
