New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Experiment Specifications	Curators	Species Experts	PubMed IDs	Curation Date
PHI:I835	PHI:847	Q6F4M1	GyrA	gyrA	DNA gyrase subunit A (Fragment)	AB158101;AB158102;AB158103;AB158109;AB158116;AB158117;AB158118;AB158122;AB158123;AB158124;AB158125;AB158126;AB158127	96345:Flavobacterium psychrophilum		8019:Oncorhynchus kisutch (coho salmon) 	n\a	GO:0005524:ATP binding; GO:0003677: DNA binding; GO:0003918: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0006265: DNA topological change		POO:0000009:sensitive to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15240271: Izumi S, Aranishi F. (2004). "Relationship between gyrA mutations and quinolone resistance in Flavobacterium psychrophilum isolates." Appl Environ Microbiol 70(7): 3968-3972. 10.1128/aem.70.7.3968-3972.2004.	2014-12-16
PHI:I836	PHI:848	Q6F4K2	GyrA	gyrA	DNA gyrase subunit A (Fragment)	AB158121	96345:Flavobacterium psychrophilum		8022:Oncorhynchus mykiss (rainbow trout) 	n\a	GO:0005524:ATP binding; GO:0003677: DNA binding; GO:0003918: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0006265: DNA topological change		POO:0000008:resistant to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15240271: Izumi S, Aranishi F. (2004). "Relationship between gyrA mutations and quinolone resistance in Flavobacterium psychrophilum isolates." Appl Environ Microbiol 70(7): 3968-3972. 10.1128/aem.70.7.3968-3972.2004.	2014-12-16
PHI:I837	PHI:849	Q75WC1	GyrA	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	AB121697	337:Burkholderia glumae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0003677: chromosome; GO:0003918: cytoplasm; GO:0006265: DNA binding; GO:0006261: DNA-dependent DNA replication; GO:0005694: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0005737: DNA topological change		POO:0000008:resistant to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15345450: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2004). "Implications of amino acid substitutions in GyrA at position 83 in terms of oxolinic acid resistance in field isolates of Burkholderia glumae, a causal agent of bacterial seedling rot and grain rot of rice." Appl Environ Microbiol 70(9): 5613-5620. 10.1128/aem.70.9.5613-5620.2004.;17194844: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2007). "Amino acid substitutions in GyrA of Burkholderia glumae are implicated in not only oxolinic acid resistance but also fitness on rice plants." Appl Environ Microbiol 73(4): 1114-1119. 10.1128/aem.02400-06.	2014-12-16
PHI:I838	PHI:850	Q75WC2	GyrA	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	AB121696	337:Burkholderia glumae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0003677: chromosome; GO:0003918: cytoplasm; GO:0006265: DNA binding; GO:0006261: DNA-dependent DNA replication; GO:0005694: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0005737: DNA topological change		POO:0000008:resistant to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15345450: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2004). "Implications of amino acid substitutions in GyrA at position 83 in terms of oxolinic acid resistance in field isolates of Burkholderia glumae, a causal agent of bacterial seedling rot and grain rot of rice." Appl Environ Microbiol 70(9): 5613-5620. 10.1128/aem.70.9.5613-5620.2004.;17194844: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2007). "Amino acid substitutions in GyrA of Burkholderia glumae are implicated in not only oxolinic acid resistance but also fitness on rice plants." Appl Environ Microbiol 73(4): 1114-1119. 10.1128/aem.02400-06.	2014-12-16
PHI:I839	PHI:851	Q75WC3	GyrA	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	AB121695	337:Burkholderia glumae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0003677: chromosome; GO:0003918: cytoplasm; GO:0006265: DNA binding; GO:0006261: DNA-dependent DNA replication; GO:0005694: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0005737: DNA topological change		POO:0000008:resistant to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15345450: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2004). "Implications of amino acid substitutions in GyrA at position 83 in terms of oxolinic acid resistance in field isolates of Burkholderia glumae, a causal agent of bacterial seedling rot and grain rot of rice." Appl Environ Microbiol 70(9): 5613-5620. 10.1128/aem.70.9.5613-5620.2004.;17194844: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2007). "Amino acid substitutions in GyrA of Burkholderia glumae are implicated in not only oxolinic acid resistance but also fitness on rice plants." Appl Environ Microbiol 73(4): 1114-1119. 10.1128/aem.02400-06.	2014-12-16
PHI:I840	PHI:852	Q75WC4	GyrA	gyrA	DNA gyrase subunit A (EC 5.99.1.3)	AB121694	337:Burkholderia glumae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0003677: chromosome; GO:0003918: cytoplasm; GO:0006265: DNA binding; GO:0006261: DNA-dependent DNA replication; GO:0005694: DNA topoisomerase type II (ATP-hydrolyzing) activity; GO:0005737: DNA topological change		POO:0000008:resistant to chemical			14698-29-4		31	A:nucleic acids synthesis	A4:DNA topoisomerase type II (gyrase)	carboxylic acids	carboxylic acids	oxolinic acid	unknown	Bactericide. Resistance known. Risk in fungi unknown. Resistance management required.	ESO:0000017:sequence analysis of sensitive and resistant strains	Thomas Baldwin;Alayne Cuzick,Rothamsted Research		15345450: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2004). "Implications of amino acid substitutions in GyrA at position 83 in terms of oxolinic acid resistance in field isolates of Burkholderia glumae, a causal agent of bacterial seedling rot and grain rot of rice." Appl Environ Microbiol 70(9): 5613-5620. 10.1128/aem.70.9.5613-5620.2004.;17194844: Maeda Y, Kiba A, Ohnishi K, Hikichi Y. (2007). "Amino acid substitutions in GyrA of Burkholderia glumae are implicated in not only oxolinic acid resistance but also fitness on rice plants." Appl Environ Microbiol 73(4): 1114-1119. 10.1128/aem.02400-06.	2014-12-16
PHI:I841	PHI:853	Q4PCH2	YAP1	yap1;UM02191.1	B-ZIP transcription factor (Uncharacterized protein)	BN000987;AACP01000079	5270:Ustilago maydis		4577:Zea mays	Monocot	GO:0005634:nucleus; GO:0043565: sequence-specific DNA binding; GO:0003700: sequence-specific DNA binding transcription factor activity	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Andrew Beacham		17616735: Molina L, Kahmann R. (2007). "An Ustilago maydis gene involved in H2O2 detoxification is required for virulence." Plant Cell 19(7): 2293-2309. 10.1105/tpc.107.052332.	2014-12-16
PHI:I842	PHI:854	Q4PD66	um01947	CCP2;UM01947	Putative heme-binding peroxidase (EC 1.11.1.-)	AACP01000071	5270:Ustilago maydis		4577:Zea mays	Monocot	GO:0020037:heme binding; GO:0046872: metal ion binding; GO:0004601: peroxidase activity; GO:0006979: response to oxidative stress	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion	Andrew Beacham		17616735: Molina L, Kahmann R. (2007). "An Ustilago maydis gene involved in H2O2 detoxification is required for virulence." Plant Cell 19(7): 2293-2309. 10.1105/tpc.107.052332.	2014-12-16
PHI:I843	PHI:856	Q5AI81	PDE2	PDE2;CaO19.10489;CaO19.2972	Uncharacterized protein	AACQ01000017;AACQ01000015	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0004114:3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0044406: adhesion of symbiont to host; GO:0019933: cAMP-mediated signaling; GO:0043709: cell-abiotic substrate adhesion; GO:0036164: cell adhesion involved in single-species biofilm formation; GO:0048869: cellular developmental process; GO:0071244: cellular response to carbon dioxide; GO:0035690: cellular response to drug; GO:0009267: cellular response to starvation; GO:0004112: cyclic-nucleotide phosphodiesterase activity; GO:0030447: filamentous growth; GO:0044182: filamentous growth of a population of unicellular organisms; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0036168: filamentous growth of a population of unicellular organisms in response to heat; GO:0036178: filamentous growth of a population of unicellular organisms in response to neutral pH; GO:0036170: filamentous growth of a population of unicellular organisms in response to starvation; GO:0031505: fungal-type cell wall organization; GO:0008152: metabolic process; GO:0046872: metal ion binding; GO:1900429: negative regulation of filamentous growth of a population of unicellular organisms; GO:1900432: negative regulation of filamentous growth of a population of unicellular organisms in response to heat; GO:1900435: negative regulation of filamentous growth of a population of unicellular organisms in response to starvation; GO:1900240: negative regulation of phenotypic switching; GO:0009405: pathogenesis; GO:0007009: plasma membrane organization; GO:0022604: regulation of cell morphogenesis; GO:0036176: response to neutral pH	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Andrew Beacham		17614954: Wilson D, Tutulan-Cunita A, Jung W, Hauser NC, Hernandez R, Williamson T, Piekarska K, Rupp S, Young T, Stateva L. (2007). "Deletion of the high-affinity cAMP phosphodiesterase encoded by PDE2 affects stress responses and virulence in Candida albicans." Mol Microbiol 65(4): 841-856. 10.1111/j.1365-2958.2007.05788.x.	2014-12-16
PHI:I844	PHI:858	A6ZIB7	NOX1		NADPH oxidase isoform 1	EF667340	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0016021:integral component of membrane; GO:0016491: oxidoreductase activity	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Andrew Beacham		17600089: Egan MJ, Wang ZY, Jones MA, Smirnoff N, Talbot NJ. (2007). "Generation of reactive oxygen species by fungal NADPH oxidases is required for rice blast disease." Proc Natl Acad Sci U S A 104(28): 11772-11777. 10.1073/pnas.0700574104.	2014-12-16
PHI:I845	PHI:859	A6ZIB8	NOX2		NADPH oxidase isoform 2	EF667341	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0016021:integral component of membrane; GO:0016491: oxidoreductase activity	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Andrew Beacham		17600089: Egan MJ, Wang ZY, Jones MA, Smirnoff N, Talbot NJ. (2007). "Generation of reactive oxygen species by fungal NADPH oxidases is required for rice blast disease." Proc Natl Acad Sci U S A 104(28): 11772-11777. 10.1073/pnas.0700574104.	2014-12-16
PHI:I846	PHI:860	Q5EMY3	MSP1		MSP1 protein-like protein	AY849650	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion	Andrew Beacham		17590228: Jeong JS, Mitchell TK, Dean RA. (2007). "The Magnaporthe grisea snodprot1 homolog, MSP1, is required for virulence." FEMS Microbiol Lett 273(2): 157-165. 10.1111/j.1574-6968.2007.00796.x.	2014-12-16
PHI:I847	PHI:860	Q5EMY3	MSP1		MSP1 protein-like protein	AY849650	318829:Magnaporthe oryzae		112509:Hordeum vulgare subsp. vulgare (domesticated barley) 	Monocot	GO:0005524:ATP binding	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion	Andrew Beacham		17590228: Jeong JS, Mitchell TK, Dean RA. (2007). "The Magnaporthe grisea snodprot1 homolog, MSP1, is required for virulence." FEMS Microbiol Lett 273(2): 157-165. 10.1111/j.1574-6968.2007.00796.x.	2014-12-16
PHI:I848	PHI:861	I1S095	RAS2	FG10114.1;FGSG_10114	Ras-2 protein (Uncharacterized protein)	DS231669	5518:Fusarium graminearum		4577:Zea mays	Monocot	GO:0005525:GTP binding; GO:0006184: GTP catabolic process; GO:0016020: membrane; GO:0007264: small GTPase mediated signal transduction	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Andrew Beacham;Alayne Cuzick,Rothamsted Research		17555271: Bluhm BH, Zhao X, Flaherty JE, Xu JR, Dunkle LD. (2007). "RAS2 regulates growth and pathogenesis in Fusarium graminearum." Mol Plant Microbe Interact 20(6): 627-636. 10.1094/mpmi-20-6-0627.	2014-12-16
PHI:I849	PHI:861	I1S095	RAS2	FG10114.1;FGSG_10114	Ras-2 protein (Uncharacterized protein)	DS231669	5518:Fusarium graminearum		4564:Triticum	Monocot	GO:0005525:GTP binding; GO:0006184: GTP catabolic process; GO:0016020: membrane; GO:0007264: small GTPase mediated signal transduction	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Andrew Beacham;Alayne Cuzick,Rothamsted Research		17555271: Bluhm BH, Zhao X, Flaherty JE, Xu JR, Dunkle LD. (2007). "RAS2 regulates growth and pathogenesis in Fusarium graminearum." Mol Plant Microbe Interact 20(6): 627-636. 10.1094/mpmi-20-6-0627.	2014-12-16
PHI:I850	PHI:862	Q2V086	ClaSSD1	ClaSSD1	Putative uncharacterized protein ClaSSD1	AB245428	5462:Colletotrichum lagenaria		3659:Cucumis sativus (cucumber) 	Dicot		GO:0009405(IMP):pathogenesis;GO:0044409:entry into host	POO:0000001:loss of pathogenicity	Penetration:Yes												ESO:0000001:gene disruption	Andrew Beacham		17542924: Tanaka S, Yamada K, Yabumoto K, Fujii S, Huser A, Tsuji G, Koga H, Dohi K, Mori M, Shiraishi T, O'Connell R, Kubo Y. (2007). "Saccharomyces cerevisiae SSD1 orthologues are essential for host infection by the ascomycete plant pathogens Colletotrichum lagenarium and Magnaporthe grisea." Mol Microbiol 64(5): 1332-1349. 10.1111/j.1365-2958.2007.05742.x.	2014-12-16
PHI:I851	PHI:864	A3QX02	ZafA	zafA	Zinc-responsiveness transcriptional activator	DQ981485	746128:Aspergillus fumigatus	DOID:13564:aspergillosis	10090:Mus musculus (house mouse) 	n\a	GO:0046872:metal ion binding; GO:0003676: nucleic acid binding	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Andrew Beacham		17542914: Moreno MA, Ibrahim-Granet O, Vicentefranqueira R, Amich J, Ave P, Leal F, Latgé JP, Calera JA. (2007). "The regulation of zinc homeostasis by the ZafA transcriptional activator is essential for Aspergillus fumigatus virulence." Mol Microbiol 64(5): 1182-1197. 10.1111/j.1365-2958.2007.05726.x.	2014-12-16
PHI:I852	PHI:867	A5H456	MgAtr7		ABC transporter 7	EF062310	1047171:Zymoseptoria tritici		4564:Triticum	Monocot	GO:0005524:ATPase activity, coupled to transmembrane movement of substances; GO:0042626: ATP binding; GO:0016021: integral component of membrane		POO:0000003:unaffected pathogenicity													ESO:0000001:gene disruption	Andrew Beacham		17379549: Zwiers LH, Roohparvar R, de Waard MA. (2007). "MgAtr7, a new type of ABC transporter from Mycosphaerella graminicola involved in iron homeostasis." Fungal Genet Biol 44(9): 853-863. 10.1016/j.fgb.2007.02.001.	2014-12-16
PHI:I853	PHI:868	Q70YY7	CLSTE12		Ste12-like transcription factor	AJ459778	290576:Colletotrichum lindemuthianum		3885:Phaseolus vulgaris	Dicot	GO:0046872:metal ion binding; GO:0003676: nucleic acid binding; GO:0005634: nucleus; GO:0003700: sequence-specific DNA binding transcription factor activity	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity	Penetration:Yes												ESO:0000001:gene disruption;ESO:0000007:gene complementation	Andrew Beacham		17376073: Wong Sak Hoi J, Herbert C, Bacha N, O'Connell R, Lafitte C, Borderies G, Rossignol M, Rougé P, Dumas B. (2007). "Regulation and role of a STE12-like transcription factor from the plant pathogen Colletotrichum lindemuthianum." Mol Microbiol 64(1): 68-82. 10.1111/j.1365-2958.2007.05639.x.	2014-12-16
PHI:I854	PHI:872	G4N9G6	MGG_03284	MGG_03284	DNA mismatch repair protein	CM001234	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0006298: mismatch repair; GO:0032300: mismatch repair complex; GO:0007131: reciprocal meiotic recombination		POO:0000002:reduced virulence													ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I855	PHI:873	G4MRV1	MGG_02443	MGG_02443	Uncharacterized protein	CM001231	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0030437:ascospore formation; GO:0000775: chromosome, centromeric region; GO:0007067: mitotic nuclear division; GO:0005634: nucleus; GO:0009405: pathogenesis		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I856	PHI:874	G4NC47	MGG_00435	MGG_00435	Integral membrane protein	CM001235	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot			POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I857	PHI:875	G4MSV0	MGG_04587	MGG_04587	Uncharacterized protein	CM001232	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot			POO:0000001:loss of pathogenicity	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I858	PHI:877	G4NCL5	MGG_00383	MGG_00383	S-adenosylmethionine synthase (EC 2.5.1.6)	CM001235	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATP binding; GO:0006556: metal ion binding; GO:0046872: methionine adenosyltransferase activity; GO:0004478: one-carbon metabolic process; GO:0006730: S-adenosylmethionine biosynthetic process		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I859	PHI:878	G4NGP0	MGG_12142	MGG_12142	Uncharacterized protein	CM001236	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot			POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I860	PHI:881	G4MS58	MGG_04556	MGG_04556	Alcohol dehydrogenase 1	CM001231	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0030437:ascospore formation; GO:0016491: oxidoreductase activity; GO:0009405: pathogenesis; GO:0008270: zinc ion binding		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I861	PHI:882	G4N3K2	MGG_04985	MGG_04985	Uncharacterized protein	CM001233	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0003723:RNA binding		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I862	PHI:883	A4QYF9	MGG_08560	CHZ1;MGG_08560	Histone H2A.Z-specific chaperone CHZ1	CM001234;CM001234	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005634:nucleus		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I863	PHI:885	G4MPP9	MGG_02240	MGG_02240	Uncharacterized protein	CM001231	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0030437:ascospore formation; GO:0009405: pathogenesis		POO:0000002:reduced virulence													ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I864	PHI:887	G4N4U0	MGG_05174	MGG_05174	Uncharacterized protein	CM001233	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0048315:conidium formation; GO:0009405: pathogenesis		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
PHI:I865	PHI:888	G4MUW5	MGG_01707	MGG_01707	Uncharacterized protein	CM001232	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0030437:ascospore formation; GO:0009405: pathogenesis		POO:0000002:reduced virulence	Pre-penetration:Yes												ESO:0000001:gene disruption	Kim Hammond-Kosack,Rothamsted Research		17353894: Jeon J, Park SY, Chi MH, Choi J, Park J, Rho HS, Kim S, Goh J, Yoo S, Choi J, Park JY, Yi M, Yang S, Kwon MJ, Han SS, Kim BR, Khang CH, Park B, Lim SE, Jung K, Kong S, Karunakaran M, Oh HS, Kim H, Kim S, Park J, Kang S, Choi WB, Kang S, Lee YH. (2007). "Genome-wide functional analysis of pathogenicity genes in the rice blast fungus." Nat Genet 39(4): 561-565. 10.1038/ng2002.	2014-12-16
