New PHI-base Acc	Old PHI-base Acc	UniProt Acc	Gene Name (PHI-base)	Gene Names (UniProt)	Protein Names (UniProt)	EMBL Accessions (UniProt)	Pathogen Taxon	Disease	Host Taxon	Cotyledons	GO Annotations (UniProt)	GO Annotations (PHI-base)	Phenotype Outcome	Defects	Inducers	CAS Registry IDs	ChEBI IDs	FRAC Codes	FRAC Mode of Action	FRAC Target Site	FRAC Group	FRAC Chemical Group	FRAC Common Name	FRAC Resistance Risk	FRAC Comment	Experiment Specifications	Curators	Species Experts	PubMed IDs	Curation Date
PHI:I100	PHI:121	O42621	PTH3	PTH3;MGG_07528	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)	AF027980;CM001233	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0000105:histidine biosynthetic process; GO:0004424: imidazoleglycerol-phosphate dehydratase activity	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity	Spore Germination:Wild Type;In Vitro Growth:Wild Type;Sexual Spores:Wild Type;Vegetative Spores:Wild Type												ESO:0000001:gene disruption;ESO:0000007:gene complementation	Martin Urban,Rothamsted Research		9574508: Sweigard JA, Carroll AM, Farrall L, Chumley FG, Valent B. (1998). "Magnaporthe grisea pathogenicity genes obtained through insertional mutagenesis." Mol Plant Microbe Interact 11(5): 404-412. 10.1094/mpmi.1998.11.5.404.	2015-01-13
PHI:I101	PHI:122	O42624	PTH8	PTH8	Pathogenicity protein (Fragment)	AF027983	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot		GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Martin Urban,Rothamsted Research		9574508: Sweigard JA, Carroll AM, Farrall L, Chumley FG, Valent B. (1998). "Magnaporthe grisea pathogenicity genes obtained through insertional mutagenesis." Mol Plant Microbe Interact 11(5): 404-412. 10.1094/mpmi.1998.11.5.404.	2015-01-13
PHI:I102	PHI:123	O42622	PTH9 (NTH1)	NTH1;PTH9;MGG_09471	Neutral trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	AF027981;AY148092;CM001233	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0004555:alpha,alpha-trehalase activity; GO:0030437: ascospore formation; GO:0005509: calcium ion binding; GO:0048315: conidium formation; GO:0005739: mitochondrion; GO:0009405: pathogenesis; GO:0005993: trehalose catabolic process	GO:0009405(IMP):pathogenesis;GO:0044412:growth or development of symbiont in host	POO:0000002:reduced virulence	Penetration:No;Pre-penetration:No;Vegetative Spores:Reduced												ESO:0000001:gene disruption;ESO:0000007:gene complementation	Martin Urban,Rothamsted Research		9574508: Sweigard JA, Carroll AM, Farrall L, Chumley FG, Valent B. (1998). "Magnaporthe grisea pathogenicity genes obtained through insertional mutagenesis." Mol Plant Microbe Interact 11(5): 404-412. 10.1094/mpmi.1998.11.5.404.;12514128: Foster AJ, Jenkinson JM, Talbot NJ. (2003). "Trehalose synthesis and metabolism are required at different stages of plant infection by Magnaporthe grisea." EMBO J 22(2): 225-235. 10.1093/emboj/cdg018.	2015-01-13
PHI:I103	PHI:124	P53705	INT1	BUD4;INT1;CaO19.11733;CaO19.4257	Bud site selection protein BUD4 (Alpha-INT1) (Integrin alpha chain-like protein)	U35070;AACQ01000022;AACQ01000021	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0007120:axial cellular bud site selection; GO:0007155: cell adhesion; GO:0050839: cell adhesion molecule binding; GO:0009986: cell-substrate adhesion; GO:0031589: cell surface; GO:0005935: cellular bud neck; GO:0030447: filamentous growth; GO:0044182: filamentous growth of a population of unicellular organisms; GO:0044117: growth of symbiont in host; GO:0009405: pathogenesis; GO:0005940: septin ring; GO:0031160: spore wall; GO:0044403: symbiosis, encompassing mutualism through parasitism	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		9478896: Gale CA, Bendel CM, McClellan M, Hauser M, Becker JM, Berman J, Hostetter MK. (1998). "Linkage of adhesion, filamentous growth, and virulence in Candida albicans to a single gene, INT1." Science 279(5355): 1355-1358. 10.1126/science.279.5355.1355.;10444345: Bendel CM, Kinneberg KM, Jechorek RP, Gale CA, Erlandsen SL, Hostetter MK, Wells CL. (1999). "Systemic infection following intravenous inoculation of mice with Candida albicans int1 mutant strains." Mol Genet Metab 67(4): 343-351. 10.1006/mgme.1999.2875.;10600356: Kinneberg KM, Bendel CM, Jechorek RP, Cebelinski EA, Gale CA, Berman JG, Erlandsen SL, Hostetter MK, Wells CL. (1999). "Effect of INT1 gene on Candida albicans murine intestinal colonization." J Surg Res 87(2): 245-251. 10.1006/jsre.1999.5755.;10847632: Bendel CM, Kinneberg KM, Jechorek RP, Erlandsen SL, Sahar DE, Wells CL. (2000). "The Candida albicans INT1 gene facilitates cecal colonization in endotoxin-treated mice." Shock 13(6): 453-458. .	2015-01-13
PHI:I104	PHI:125;PHI:126;PHI:127	P43093;P43094;P43095	SAP4;SAP5;SAP6	SAP4;CAWG_05020;SAP5;CaO19.13032;CaO19.5585;SAP6	Candidapepsin-4 (EC 3.4.23.24) (ACP 4) (Aspartate protease 4) (Secreted aspartic protease 4);Candidapepsin-5 (EC 3.4.23.24) (ACP 5) (Aspartate protease 5) (Secreted aspartic protease 5);Candidapepsin-6 (EC 3.4.23.24) (ACP 6) (Aspartate protease 6) (Secreted aspartic protease 6)	L25388;CM000312;Z30191;AACQ01000034;AACQ01000033;Z30192	5476:Candida albicans;5476:Candida albicans;5476:Candida albicans	DOID:1508:candidiasis	10141:Cavia porcellus (domestic guinea pig) 	n\a	GO:0004190:aspartic-type endopeptidase activity; GO:0005576: extracellular region;GO:0044406:adhesion of symbiont to host; GO:0004190: aspartic-type endopeptidase activity; GO:0044270: cellular nitrogen compound catabolic process; GO:0005576: extracellular region; GO:0005622: intracellular; GO:0006807: nitrogen compound metabolic process; GO:0009405: pathogenesis; GO:0030163: protein catabolic process; GO:0006508: proteolysis;GO:0004190:aspartic-type endopeptidase activity; GO:0005576: extracellular region	GO:0009405(IGI):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption	Thomas Baldwin		9284117: Sanglard D, Hube B, Monod M, Odds FC, Gow NA. (1997). "A triple deletion of the secreted aspartyl proteinase genes SAP4, SAP5, and SAP6 of Candida albicans causes attenuated virulence." Infect Immun 65(9): 3539-3546. .;9485603: Watts HJ, Cheah FS, Hube B, Sanglard D, Gow NA. (1998). "Altered adherence in strains of Candida albicans harbouring null mutations in secreted aspartic proteinase genes." FEMS Microbiol Lett 159(1): 129-135. 10.1111/j.1574-6968.1998.tb12851.x.;9632257: Borg-von Zepelin M, Beggah S, Boggian K, Sanglard D, Monod M. (1998). "The expression of the secreted aspartyl proteinases Sap4 to Sap6 from Candida albicans in murine macrophages." Mol Microbiol 28(3): 543-554. 10.1046/j.1365-2958.1998.00815.x.;9841840: De Bernardis F, Arancia S, Morelli L, Hube B, Sanglard D, Schäfer W, Cassone A. (1999). "Evidence that members of the secretory aspartyl proteinase gene family, in particular SAP2, are virulence factors for Candida vaginitis." J Infect Dis 179(1): 201-208. 10.1086/314546.;10569785: Kretschmar M, Hube B, Bertsch T, Sanglard D, Merker R, Schröder M, Hof H, Nichterlein T. (1999). "Germ tubes and proteinase activity contribute to virulence of Candida albicans in murine peritonitis." Infect Immun 67(12): 6637-6642. .;10540295: Schaller M, Korting HC, Schäfer W, Bastert J, Chen W, Hube B. (1999). "Secreted aspartic proteinase (Sap) activity contributes to tissue damage in a model of human oral candidosis." Mol Microbiol 34(1): 169-180. 10.1046/j.1365-2958.1999.01590.x.	2015-01-13
PHI:I105	PHI:125;PHI:126;PHI:127	P43093;P43094;P43095	SAP4;SAP5;SAP6	SAP4;CAWG_05020;SAP5;CaO19.13032;CaO19.5585;SAP6	Candidapepsin-4 (EC 3.4.23.24) (ACP 4) (Aspartate protease 4) (Secreted aspartic protease 4);Candidapepsin-5 (EC 3.4.23.24) (ACP 5) (Aspartate protease 5) (Secreted aspartic protease 5);Candidapepsin-6 (EC 3.4.23.24) (ACP 6) (Aspartate protease 6) (Secreted aspartic protease 6)	L25388;CM000312;Z30191;AACQ01000034;AACQ01000033;Z30192	5476:Candida albicans;5476:Candida albicans;5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0004190:aspartic-type endopeptidase activity; GO:0005576: extracellular region;GO:0044406:adhesion of symbiont to host; GO:0004190: aspartic-type endopeptidase activity; GO:0044270: cellular nitrogen compound catabolic process; GO:0005576: extracellular region; GO:0005622: intracellular; GO:0006807: nitrogen compound metabolic process; GO:0009405: pathogenesis; GO:0030163: protein catabolic process; GO:0006508: proteolysis;GO:0004190:aspartic-type endopeptidase activity; GO:0005576: extracellular region	GO:0009405(IGI):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption	Thomas Baldwin		9284117: Sanglard D, Hube B, Monod M, Odds FC, Gow NA. (1997). "A triple deletion of the secreted aspartyl proteinase genes SAP4, SAP5, and SAP6 of Candida albicans causes attenuated virulence." Infect Immun 65(9): 3539-3546. .;9485603: Watts HJ, Cheah FS, Hube B, Sanglard D, Gow NA. (1998). "Altered adherence in strains of Candida albicans harbouring null mutations in secreted aspartic proteinase genes." FEMS Microbiol Lett 159(1): 129-135. 10.1111/j.1574-6968.1998.tb12851.x.;9632257: Borg-von Zepelin M, Beggah S, Boggian K, Sanglard D, Monod M. (1998). "The expression of the secreted aspartyl proteinases Sap4 to Sap6 from Candida albicans in murine macrophages." Mol Microbiol 28(3): 543-554. 10.1046/j.1365-2958.1998.00815.x.;9841840: De Bernardis F, Arancia S, Morelli L, Hube B, Sanglard D, Schäfer W, Cassone A. (1999). "Evidence that members of the secretory aspartyl proteinase gene family, in particular SAP2, are virulence factors for Candida vaginitis." J Infect Dis 179(1): 201-208. 10.1086/314546.;10569785: Kretschmar M, Hube B, Bertsch T, Sanglard D, Merker R, Schröder M, Hof H, Nichterlein T. (1999). "Germ tubes and proteinase activity contribute to virulence of Candida albicans in murine peritonitis." Infect Immun 67(12): 6637-6642. .;10540295: Schaller M, Korting HC, Schäfer W, Bastert J, Chen W, Hube B. (1999). "Secreted aspartic proteinase (Sap) activity contributes to tissue damage in a model of human oral candidosis." Mol Microbiol 34(1): 169-180. 10.1046/j.1365-2958.1999.01590.x.	2015-01-13
PHI:I106	PHI:128	O14448	SUM1	SUM1;RPKA;MGG_07335	cAMP-dependent protein kinase regulatory subunit (PKA regulatory subunit)	AF024633;AF015753;CM001232	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0030552:cAMP binding; GO:0005952: cAMP-dependent protein kinase complex; GO:0008603: cAMP-dependent protein kinase regulator activity		POO:0000003:unaffected pathogenicity													ESO:0000016:characterised gene mutation	Martin Urban,Rothamsted Research		9707535: Adachi K, Hamer JE. (1998). "Divergent cAMP signaling pathways regulate growth and pathogenesis in the rice blast fungus Magnaporthe grisea." Plant Cell 10(8): 1361-1374. 10.1105/tpc.10.8.1361.	2015-01-13
PHI:I107	PHI:129	O59900	CAP60	CAP60	Cap60p	AF030696	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Thomas Baldwin;Sabrina Holland		9573112: Chang YC, Kwon-Chung KJ. (1998). "Isolation of the third capsule-associated gene, CAP60, required for virulence in Cryptococcus neoformans." Infect Immun 66(5): 2230-2236. .	2015-01-13
PHI:I108	PHI:130	Q92410	TPS1	TPS1;CaO19.13961;CaO19.6640	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	Y07918;AACQ01000186;AACQ01000165	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0003825:alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity; GO:0034605: cellular response to heat; GO:0071470: cellular response to osmotic stress; GO:0034599: cellular response to oxidative stress; GO:0009267: cellular response to starvation; GO:0016311: dephosphorylation; GO:0030447: filamentous growth; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0036168: filamentous growth of a population of unicellular organisms in response to heat; GO:0036170: filamentous growth of a population of unicellular organisms in response to starvation; GO:0060257: negative regulation of flocculation; GO:0009405: pathogenesis; GO:0005992: trehalose biosynthetic process; GO:0004805: trehalose-phosphatase activity	GO:0009405(IMP):pathogenesis;GO:0003825(NAS):alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		9683476: Zaragoza O, Blazquez MA, Gancedo C. (1998). "Disruption of the Candida albicans TPS1 gene encoding trehalose-6-phosphate synthase impairs formation of hyphae and decreases infectivity." J Bacteriol 180(15): 3809-3815. .;14587100: González-Párraga P, Hernández JA, Argüelles JC. (2003). "Role of antioxidant enzymatic defences against oxidative stress H(2)O(2) and the acquisition of oxidative tolerance in Candida albicans." Yeast 20(14): 1161-1169. 10.1002/yea.1029.	2015-01-13
PHI:I109	PHI:131	O93842	TRI12	Tri12	Trichothecene efflux pump	AF011355	5514:Fusarium sporotrichioides		4564:Triticum	Monocot			POO:0000003:unaffected pathogenicity													ESO:0000001:gene disruption	Martin Urban,Rothamsted Research;Andrew Beacham		10485289: Alexander NJ, McCormick SP, Hohn TM. (1999). "TRI12, a trichothecene efflux pump from Fusarium sporotrichioides: gene isolation and expression in yeast." Mol Gen Genet 261(6): 977-984. 10.1007/s004380051046.	2015-01-13
PHI:I110	PHI:132	O13407	ABC1	ABC1	ABC1 transporter	AF032443	318829:Magnaporthe oryzae		4530:Oryza sativa (rice) 	Monocot	GO:0005524:ATPase activity, coupled to transmembrane movement of substances; GO:0042626: ATP binding; GO:0016021: integral component of membrane	GO:0042626:ATPase activity, coupled to transmembrane movement of substances;GO:0009405(IMP):pathogenesis;GO:0044412:growth or development of symbiont in host	POO:0000002:reduced virulence	Vegetative Spores:Yes;Penetration:No;Pre-penetration:No												ESO:0000002:gene deletion	Martin Urban,Rothamsted Research		9927411: Urban M, Bhargava T, Hamer JE. (1999). "An ATP-driven efflux pump is a novel pathogenicity factor in rice blast disease." EMBO J 18(3): 512-521. 10.1093/emboj/18.3.512.	2015-01-13
PHI:I111	PHI:133	O93800	AKT1	AKT1	Akt1	AB015351	5599:Alternaria alternata		23211:Pyrus communis (pear) 	Dicot	GO:0003824:catalytic activity	GO:0009405(IMP):pathogenesis;GO:0044409:entry into host;GO:0044412:growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No												ESO:0000001:gene disruption	Thomas Baldwin		10432635: Tanaka A, Shiotani H, Yamamoto M, Tsuge T. (1999). "Insertional mutagenesis and cloning of the genes required for biosynthesis of the host-specific AK-toxin in the Japanese pear pathotype of Alternaria alternata." Mol Plant Microbe Interact 12(8): 691-702. 10.1094/mpmi.1999.12.8.691.	2015-01-13
PHI:I112	PHI:134	O93801	AKT2	AKT2;AKT2-1	Akt2 (Esterase/lipase family protein)	AB015352;AB872924	5599:Alternaria alternata		23211:Pyrus communis (pear) 	Dicot		GO:0009405(IMP):pathogenesis;GO:0044409:entry into host;GO:0044412:growth or development of symbiont in host	POO:0000001:loss of pathogenicity	Penetration:Yes;Pre-penetration:No												ESO:0000001:gene disruption	Thomas Baldwin		10432635: Tanaka A, Shiotani H, Yamamoto M, Tsuge T. (1999). "Insertional mutagenesis and cloning of the genes required for biosynthesis of the host-specific AK-toxin in the Japanese pear pathotype of Alternaria alternata." Mol Plant Microbe Interact 12(8): 691-702. 10.1094/mpmi.1999.12.8.691.	2015-01-13
PHI:I113	PHI:135	A4D962	BAD1 (WI-1)		WI-1 adhesin	U37772	5039:Blastomyces dermatitidis		10090:Mus musculus (house mouse) 	n\a		GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Thomas Baldwin		10209038: Brandhorst TT, Wüthrich M, Warner T, Klein B. (1999). "Targeted gene disruption reveals an adhesin indispensable for pathogenicity of Blastomyces dermatitidis." J Exp Med 189(8): 1207-1216. 10.1084/jem.189.8.1207.;12023375: Finkel-Jimenez B, Wüthrich M, Klein BS. (2002). "BAD1, an essential virulence factor of Blastomyces dermatitidis, suppresses host TNF-alpha production through TGF-beta-dependent and -independent mechanisms." J Immunol 168(11): 5746-5755. 10.4049/jimmunol.168.11.5746.;16243837: Brandhorst TT, Gauthier GM, Stein RA, Klein BS. (2005). "Calcium binding by the essential virulence factor BAD-1 of Blastomyces dermatitidis." J Biol Chem 280(51): 42156-42163. 10.1074/jbc.m507188200.	2015-01-13
PHI:I114	PHI:136	Q5AHA0	CaHK1 (CHK1)	CHK1;CaO19.8515;CaO19.896	Histidine protein kinase 1 (EC 2.7.13.3)	AF013273;AACQ01000019;AACQ01000018	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0005524:ATP binding; GO:0071555: cellular response to farnesol; GO:0097308: cell wall organization; GO:0030447: filamentous growth; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0009272: fungal-type cell wall biogenesis; GO:0016020: membrane; GO:0051042: negative regulation of calcium-independent cell-cell adhesion; GO:0050765: negative regulation of phagocytosis; GO:0009405: pathogenesis; GO:0000155: phosphorelay sensor kinase activity; GO:1900445: positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:1900231: regulation of single-species biofilm formation on inanimate substrate; GO:0044011: single-species biofilm formation on inanimate substrate	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		10417206: Calera JA, Zhao XJ, De Bernardis F, Sheridan M, Calderone R. (1999). "Avirulence of Candida albicans CaHK1 mutants in a murine model of hematogenously disseminated candidiasis." Infect Immun 67(8): 4280-4284. .;14734021: Kruppa M, Jabra-Rizk MA, Meiller TF, Calderone R. (2004). "The histidine kinases of Candida albicans: regulation of cell wall mannan biosynthesis." FEMS Yeast Res 4(4-5): 409-416. 10.1016/s1567-1356(03)00201-0.;15470110: Li D, Gurkovska V, Sheridan M, Calderone R, Chauhan N. (2004). "Studies on the regulation of the two-component histidine kinase gene CHK1 in Candida albicans using the heterologous lacZ reporter gene." Microbiology 150(pt 10): 3305-3313. 10.1099/mic.0.27237-0.	2015-01-13
PHI:I115	PHI:136	Q5AHA0	CaHK1 (CHK1)	CHK1;CaO19.8515;CaO19.896	Histidine protein kinase 1 (EC 2.7.13.3)	AF013273;AACQ01000019;AACQ01000018	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0005524:ATP binding; GO:0071555: cellular response to farnesol; GO:0097308: cell wall organization; GO:0030447: filamentous growth; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0009272: fungal-type cell wall biogenesis; GO:0016020: membrane; GO:0051042: negative regulation of calcium-independent cell-cell adhesion; GO:0050765: negative regulation of phagocytosis; GO:0009405: pathogenesis; GO:0000155: phosphorelay sensor kinase activity; GO:1900445: positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:1900231: regulation of single-species biofilm formation on inanimate substrate; GO:0044011: single-species biofilm formation on inanimate substrate	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption	Thomas Baldwin		10572127: Yamada-Okabe T, Mio T, Ono N, Kashima Y, Matsui M, Arisawa M, Yamada-Okabe H. (1999). "Roles of three histidine kinase genes in hyphal development and virulence of the pathogenic fungus Candida albicans." J Bacteriol 181(23): 7243-7247. .;14734021: Kruppa M, Jabra-Rizk MA, Meiller TF, Calderone R. (2004). "The histidine kinases of Candida albicans: regulation of cell wall mannan biosynthesis." FEMS Yeast Res 4(4-5): 409-416. 10.1016/s1567-1356(03)00201-0.;15470110: Li D, Gurkovska V, Sheridan M, Calderone R, Chauhan N. (2004). "Studies on the regulation of the two-component histidine kinase gene CHK1 in Candida albicans using the heterologous lacZ reporter gene." Microbiology 150(pt 10): 3305-3313. 10.1099/mic.0.27237-0.	2015-01-13
PHI:I116	PHI:136	Q5AHA0	CaHK1 (CHK1)	CHK1;CaO19.8515;CaO19.896	Histidine protein kinase 1 (EC 2.7.13.3)	AF013273;AACQ01000019;AACQ01000018	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0005524:ATP binding; GO:0071555: cellular response to farnesol; GO:0097308: cell wall organization; GO:0030447: filamentous growth; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0009272: fungal-type cell wall biogenesis; GO:0016020: membrane; GO:0051042: negative regulation of calcium-independent cell-cell adhesion; GO:0050765: negative regulation of phagocytosis; GO:0009405: pathogenesis; GO:0000155: phosphorelay sensor kinase activity; GO:1900445: positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:1900231: regulation of single-species biofilm formation on inanimate substrate; GO:0044011: single-species biofilm formation on inanimate substrate	GO:0009405(IMP):pathogenesis	POO:0000001:loss of pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		10417206: Calera JA, Zhao XJ, De Bernardis F, Sheridan M, Calderone R. (1999). "Avirulence of Candida albicans CaHK1 mutants in a murine model of hematogenously disseminated candidiasis." Infect Immun 67(8): 4280-4284. .;14734021: Kruppa M, Jabra-Rizk MA, Meiller TF, Calderone R. (2004). "The histidine kinases of Candida albicans: regulation of cell wall mannan biosynthesis." FEMS Yeast Res 4(4-5): 409-416. 10.1016/s1567-1356(03)00201-0.;15470110: Li D, Gurkovska V, Sheridan M, Calderone R, Chauhan N. (2004). "Studies on the regulation of the two-component histidine kinase gene CHK1 in Candida albicans using the heterologous lacZ reporter gene." Microbiology 150(pt 10): 3305-3313. 10.1099/mic.0.27237-0.	2015-01-13
PHI:I117	PHI:136	Q5AHA0	CaHK1 (CHK1)	CHK1;CaO19.8515;CaO19.896	Histidine protein kinase 1 (EC 2.7.13.3)	AF013273;AACQ01000019;AACQ01000018	5476:Candida albicans	DOID:1508:candidiasis	10114:Rattus	n\a	GO:0005524:ATP binding; GO:0071555: cellular response to farnesol; GO:0097308: cell wall organization; GO:0030447: filamentous growth; GO:0036180: filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:0009272: fungal-type cell wall biogenesis; GO:0016020: membrane; GO:0051042: negative regulation of calcium-independent cell-cell adhesion; GO:0050765: negative regulation of phagocytosis; GO:0009405: pathogenesis; GO:0000155: phosphorelay sensor kinase activity; GO:1900445: positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus; GO:1900231: regulation of single-species biofilm formation on inanimate substrate; GO:0044011: single-species biofilm formation on inanimate substrate	GO:0009405(IMP):pathogenesis	POO:0000003:unaffected pathogenicity													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Thomas Baldwin		10417206: Calera JA, Zhao XJ, De Bernardis F, Sheridan M, Calderone R. (1999). "Avirulence of Candida albicans CaHK1 mutants in a murine model of hematogenously disseminated candidiasis." Infect Immun 67(8): 4280-4284. .;14734021: Kruppa M, Jabra-Rizk MA, Meiller TF, Calderone R. (2004). "The histidine kinases of Candida albicans: regulation of cell wall mannan biosynthesis." FEMS Yeast Res 4(4-5): 409-416. 10.1016/s1567-1356(03)00201-0.;15470110: Li D, Gurkovska V, Sheridan M, Calderone R, Chauhan N. (2004). "Studies on the regulation of the two-component histidine kinase gene CHK1 in Candida albicans using the heterologous lacZ reporter gene." Microbiology 150(pt 10): 3305-3313. 10.1099/mic.0.27237-0.	2015-01-13
PHI:I118	PHI:138	O42696	CaNIK1	CaNIK1	CaNIK1 protein	AB006363	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0016021:integral component of membrane; GO:0000155: phosphorelay sensor kinase activity	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption	Thomas Baldwin		10572127: Yamada-Okabe T, Mio T, Ono N, Kashima Y, Matsui M, Arisawa M, Yamada-Okabe H. (1999). "Roles of three histidine kinase genes in hyphal development and virulence of the pathogenic fungus Candida albicans." J Bacteriol 181(23): 7243-7247. .	2015-01-13
PHI:I119	PHI:139	Q7ZA26	CAP10	CAP10	Capsule protein (Fragment)	AB110231	5207:Cryptococcus neoformans	DOID:12053:cryptococcosis	10090:Mus musculus (house mouse) 	n\a		GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000002:gene deletion;ESO:0000007:gene complementation	Thomas Baldwin;Kim Hammond-Kosack,Rothamsted Research		10482503: Chang YC, Kwon-Chung KJ. (1999). "Isolation, characterization, and localization of a capsule-associated gene, CAP10, of Cryptococcus neoformans." J Bacteriol 181(18): 5636-5643. .	2015-01-13
PHI:I120	PHI:140	O42695	CaSLN1	CaSLN1	CaSLN1 protein	AB006362	5476:Candida albicans	DOID:1508:candidiasis	10090:Mus musculus (house mouse) 	n\a	GO:0016021:integral component of membrane; GO:0000155: phosphorelay sensor kinase activity	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption	Thomas Baldwin		10572127: Yamada-Okabe T, Mio T, Ono N, Kashima Y, Matsui M, Arisawa M, Yamada-Okabe H. (1999). "Roles of three histidine kinase genes in hyphal development and virulence of the pathogenic fungus Candida albicans." J Bacteriol 181(23): 7243-7247. .	2015-01-13
PHI:I121	PHI:141	O93886	CFP		Putative cercosporin transporter	AF091042	84275:Cercospora kikuchii		3847:Glycine max (soybean) 	Dicot	GO:0016021:integral component of membrane; GO:0055085: transmembrane transport	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence													ESO:0000001:gene disruption;ESO:0000007:gene complementation	Martin Urban,Rothamsted Research		10517030: Callahan TM, Rose MS, Meade MJ, Ehrenshaft M, Upchurch RG. (1999). "CFP, the putative cercosporin transporter of Cercospora kikuchii, is required for wild type cercosporin production, resistance, and virulence on soybean." Mol Plant Microbe Interact 12(10): 901-910. 10.1094/mpmi.1999.12.10.901.	2015-01-13
PHI:I122	PHI:142	Q9UVN7	CHK1	CHK1	Mitogen-activated protein kinase (EC 2.7.11.24)	AF178977	5016:Bipolaris maydis		4577:Zea mays	Monocot	GO:0005524:ATP binding; GO:0004707: MAP kinase activity	GO:0009405(IMP):pathogenesis	POO:0000002:reduced virulence	Penetration:No;Pre-penetration:No;In Vitro Growth:Reduced												ESO:0000001:gene disruption	Martin Urban,Rothamsted Research		10557357: Lev S, Sharon A, Hadar R, Ma H, Horwitz BA. (1999). "A mitogen-activated protein kinase of the corn leaf pathogen Cochliobolus heterostrophus is involved in conidiation, appressorium formation, and pathogenicity: diverse roles for mitogen-activated protein kinase homologs in foliar pathogens." Proc Natl Acad Sci U S A 96(23): 13542-13547. 10.1073/pnas.96.23.13542.;12671080: Lev S, Horwitz BA. (2003). "A mitogen-activated protein kinase pathway modulates the expression of two cellulase genes in Cochliobolus heterostrophus during plant infection." Plant Cell 15(4): 835-844. 10.1105/tpc.010546.	2015-01-13
