PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	Host_response	Experimental_evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:1757	Uniprot	I1RYY1	FGSG_09594	PH-1	GzZC072			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1758	Uniprot	I1RXV2	FGSG_09178	PH-1	GzZC073			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1759	Uniprot	I1RXS2	FGSG_09147	PH-1	GzZC074			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1760	Uniprot	I1RXP9	FGSG_09123	PH-1	GzZC075			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1761	Uniprot	I1RXN7	FGSG_09111	PH-1	GzZC076			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1762	Uniprot	I1RXJ4	FGSG_09065	PH-1	GzZC077			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1763	Uniprot	I1RXE8	FGSG_09014	PH-1	GzZC078			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1764	Uniprot	Q4I0C5	FGSG_09333	PH-1	GzZC079			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1765	Uniprot	I1RY91	FGSG_09331	PH-1	GzZC080			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1766	Uniprot	I1S160	FGSG_10458	PH-1	GzZC081			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1767	Uniprot	I1S134	FGSG_10429	PH-1	GzZC082			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1768	Uniprot	I1RAN6	FGSG_00568	PH-1	GzZC083			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1769	Uniprot	I1RXB2	FGSG_08972	PH-1	GzZC084			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1770	Uniprot	I1RX79	FGSG_08930	PH-1	GzZC085			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1771	Uniprot	I1RX74	FGSG_08924	PH-1	GzZC086			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	wild type	reduced						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1772	Uniprot	I1S053	FGSG_10069	PH-1	GzZC087			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					reduced	defective	reduced						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1773	Uniprot	I1S409	FGSG_11561	PH-1	GzZC088			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1774	Uniprot	I1S3Z9	FGSG_11551	PH-1	GzZC089			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1775	Uniprot	I1S5X3	FGSG_12244	PH-1	GzZC090			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1776	Uniprot	I1S0X3	FGSG_10364	PH-1	GzZC091			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1777	Uniprot	I1S2U0	FGSG_11093	PH-1	GzZC092			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1778	Uniprot	I1S353	FGSG_11218	PH-1	GzZC093			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1779	Uniprot	I1S325	FGSG_11186	PH-1	GzZC094			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1780	Uniprot	I1S396	FGSG_11271	PH-1	GzZC095			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1781	Uniprot	I1S389	FGSG_11262	PH-1	GzZC096			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1782	Uniprot	I1S3H4	FGSG_11356	PH-1	GzZC097			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1783	Uniprot	I1S2C5	FGSG_10914	PH-1	GzZC098			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1784	Uniprot	I1S2A9	FGSG_10895	PH-1	GzZC099			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1785	Uniprot	I1S231	FGSG_10812	PH-1	GzZC100			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1786	Uniprot	I1S1Q9	FGSG_10674	PH-1	GzZC101			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1787	Uniprot	I1S1P9	FGSG_10660	PH-1	GzZC102			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1788	Uniprot	I1S1N1	FGSG_10639	PH-1	GzZC103			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1789	Uniprot	I1RVU7	FGSG_08392	PH-1	GzZC104			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1790	Uniprot	I1RVT7	FGSG_08380	PH-1	GzZC105			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1791	Uniprot	I1RVN8	FGSG_08321	PH-1	GzZC106			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1792	Uniprot	I1RVS7	FGSG_08369	PH-1	GzZC107			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1793	Uniprot	I1RWT7	FGSG_08769	PH-1	GzZC108			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	defective	reduced						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1794	Uniprot	V6RJG0	FGSG_08626	PH-1	GzZC109			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	aberrant	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1795	Uniprot	I1RSX8	FGSG_07265	PH-1	GzZC110			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1796	Uniprot	I1RSR7	FGSG_07198	PH-1	GzZC111			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1797	Uniprot	I1RSR1	FGSG_07192	PH-1	GzZC112			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1798	Uniprot	I1RSP9	FGSG_07177	PH-1	GzZC113			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1799	Uniprot	I1RBN6	FGSG_00967	PH-1	GzZC114			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1800	Uniprot	I1RE61	FGSG_01936	PH-1	GzZC115			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1801	Uniprot	I1RVB5	FGSG_08182	PH-1	GzZC116			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1802	Uniprot	I1RVB2	FGSG_08179	PH-1	GzZC117			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1803	Uniprot	I1RUX9	FGSG_08038	PH-1	GzZC118			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1804	Uniprot	I1RUX5	FGSG_08034	PH-1	GzZC119			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1805	Uniprot	I1RUX0	FGSG_08028	PH-1	GzZC120			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Reduced virulence					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1806	Uniprot	I1RUM8	FGSG_07927	PH-1	GzZC121			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1807	Uniprot	I1RUM5	FGSG_07924	PH-1	GzZC122			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1808	Uniprot	I1RF14	FGSG_02277	PH-1	GzZC123			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1809	Uniprot	I1REW1	FGSG_02215	PH-1	GzZC124			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1810	Uniprot	I1RUJ0	FGSG_07884	PH-1	GzZC125			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1811	Uniprot	I1RUD7	FGSG_07827	PH-1	GzZC126			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1812	Uniprot	I1RV71	FGSG_08135	PH-1	GzZC127			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1813	Uniprot	I1RV20	FGSG_08080	PH-1	GzZC128			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1814	Uniprot	I1RV04	FGSG_08064	PH-1	GzZC129			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1815	Uniprot	I1RL60	FGSG_04643	PH-1	GzZC130			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1816	Uniprot	I1RRS3	FGSG_06810	PH-1	GzZC131			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1817	Uniprot	I1RL07	FGSG_04581	PH-1	ZEAR			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1818	Uniprot	I1S7V2	FGSG_12927	PH-1	GzZC133			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1819	Uniprot	I1S7J0	FGSG_12813	PH-1	GzZC134			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1820	Uniprot	I1S8F7	FGSG_13135	PH-1	GzZC135			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1821	Uniprot	I1RWY8	FGSG_08828	PH-1	GzZC136			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1822	Uniprot	I1S1D3	FGSG_10533	PH-1	GzZC137			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1823	Uniprot	I1RXK4	FGSG_09075	PH-1	GzZC138			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1824	Uniprot	I1RYC6	FGSG_09371	PH-1	GzZC139			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1825	Uniprot	I1RY88	FGSG_09328	PH-1	GzZC140			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1826	Uniprot	I1S2I6	FGSG_10980	PH-1	GzZC141			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1827	Uniprot	I1S2W8	FGSG_11124	PH-1	GzZC142			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1828	Uniprot	I1S351	FGSG_11216	PH-1	GzZC143			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1829	Uniprot	I1S1M0	FGSG_10627	PH-1	GzZC144			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1830	Uniprot	I1RUJ4	FGSG_07889	PH-1	GzZC145			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1831	Uniprot	I1RHT9	FGSG_03353	PH-1	GzZC146			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1832	Uniprot	I1RH29	FGSG_03068	PH-1	GzZC147			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1833	Uniprot	I1RK16	FGSG_04203	PH-1	GzZC148			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1834	Uniprot	I1RP23	FGSG_05772	PH-1	GzZC149			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1835	Uniprot	I1RIL1	FGSG_03649	PH-1	GzZC150			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1836	Uniprot	I1RFH1	FGSG_02445	PH-1	GzZC151			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	defective	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1837	Uniprot	I1RFF7	FGSG_02431	PH-1	GzZC152			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1838	Uniprot	I1RGC8	FGSG_02787	PH-1	GzZC153			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1839	Uniprot	I1RDM2	FGSG_01731	PH-1	GzZC154			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1840	Uniprot	I1RQV9	FGSG_06460	PH-1	GzZC155			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1841	Uniprot	I1RIY6	FGSG_03783	PH-1	GzZC156			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1842	Uniprot	I1RBA2	FGSG_00813	PH-1	GzZC157			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1843	Uniprot	I1S4X3	FGSG_11891	PH-1	GzZC158			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1844	Uniprot	I1S708	FGSG_12631	PH-1	GzZC159			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1845	Uniprot	I1S4B6	FGSG_11683	PH-1	GzZC160			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
PHI:1846	Uniprot	I1S7A6	FGSG_12729	PH-1	GzZC161			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						Gene deletion	MU	MU			10.1371/journal.ppat.1002310	
