PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:455	Uniprot	Q00523	EMBL	AAC13946		CAP59							5207	Cryptococcus neoformans	5207	B-3501	Cryptococcosis		10090	Mouse					Capsule formation	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; gene deletion; complementation			TKB; KHK	8007987	PubMed		
PHI:455	Uniprot	Q00523	EMBL	AAC13946		CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis		7137	Galleria mellonella						GO:0009405, IMP	GO		Reduced virulence																gene disruption; gene deletion; complementation		AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
PHI:455	Uniprot	Q00523	EMBL	AAC13946		CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis		7227	Drosophila melanogaster						GO:0009405, IMP	GO		Reduced virulence																gene disruption; gene deletion; complementation		AI	SH; KHK	15075271	PubMed		Tested in Oregon-R flies
PHI:455	Uniprot	Q00523	EMBL	AAC13946		CAP59							5207	Cryptococcus neoformans	178876	H99	Cryptococcosis		6239	Nematode						GO:0009405, IMP	GO		Reduced virulence																gene disruption; gene deletion; complementation		AI	SH; KHK	12438649	PubMed	10.1073/pnas.232568599	Tested in C.elegans strain N2 Bristol
PHI:457	Uniprot	Q5A409	EMBL	EAK97437	SC5314	CHS2							5476	Candida albicans	5476	SGY243	Candidiasis		10090	Mouse					Chitin Synthase				Unaffected pathogenicity																gene disruption			TKB	8016141; 8636047  	PubMed		
PHI:458	Uniprot	O94196	EMBL	AAD18059	70-15	MHP1							318829	Magnaporthe oryzae			Rice blast	Monocot	4530	Rice					Hydrophobin	GO:0009405, IMP; GO:0044412, IMP; GO:0009847, IMP; GO:0030437, IMP	GO		Reduced virulence		Yes	No	Yes		Reduced		Unaffected	Reduced							gene disruption; complementation			TKB; MU	16101997	PubMed	10.1111/j.1365-2958.2005.04750.x	
PHI:459	Uniprot	Q99067	EMBL	CAA79218	Uh112 (MAT-1, ade)	UhbE1						PHI:460	120017	Ustilago hordei	120017		Barley smut	Monocot	112509	Barley					Mating locus protein	GO:0009405, IGI	GO		Loss of pathogenicity 	No	No Data	No Data	No Data												gene disruption			TKB	8844149	PubMed		Also disrupted in the MAT-2 strain, with the same pathogenicity defect.
PHI:460	Uniprot	Q99071	EMBL	CAA79219	Uh112 (MAT-1, ade)	UhbW1						PHI:459	120017	Ustilago hordei	120017		Barley smut	Monocot	112509	Barley					Mating locus protein	GO:0009405, IGI	GO		Loss of pathogenicity 	No	No Data	No Data	No Data												gene disruption			TKB	8844149	PubMed		Also disrupted in the MAT-2 strain, with the same pathogenicity defect.
PHI:461	Uniprot	P0CY23	EMBL	AAB38875	1066	CST20							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Protein kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	8917571	PubMed		STE20 homologue
PHI:462	Uniprot	C4YLK8	EMBL	AAB59338 	WO1	HST7							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Protein kinase				Unaffected pathogenicity																gene disruption; complementation			TKB	8917571	PubMed		STE7 homologue
PHI:463	Uniprot	P02829	EMBL	AAA02743		HSP90							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Heat Shock Protein				Increased virulence (Hypervirulence)																altered gene expression / gene regulation: overexpression			TKB; MU	9116640	PubMed		knockout is lethal
PHI:464	Uniprot	P87198	EMBL	AAB63336		KIN1							5270	Ustilago maydis	5270	FB1, FB2	Corn smut	Monocot	4577	Maize					Kinesin				Unaffected pathogenicity																gene disruption			TKB	9218789	PubMed		
PHI:465	Uniprot	P87199	EMBL	AAB63337		KIN2							5270	Ustilago maydis	5270	FB1, FB2	Corn smut	Monocot	4577	Maize					Kinesin	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	9218789	PubMed		Post-mating defect
PHI:466	Uniprot	P49605	EMBL	AAA57470	518	UBC1							5270	Ustilago maydis	5270		Corn smut	Monocot	4577	Maize					PKA regulatory subunit	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes												gene disruption			TKB	9338961; 11043465 	PubMed	10.1105/tpc.9.9.1585	
PHI:467	Uniprot	P87090	EMBL	AAC16255	EP155	CPC1							5116	Cryphonectria parasitica	5116		Chesnut blight	Dicot	134033	American Chestnut tree					General amino acid control transcription factor	GO:0009405, IMP	GO		Reduced virulence																mutation			TKB; MU	9501479	PubMed	10.1006/fgbi.1997.1023	Constitutive transgenic expression of a DNA binding defective CPC1 led to reduced virulence.
PHI:468	Uniprot	Q6VBJ0	EMBL	AAQ82691		EPA1							5478	Candida glabrata	5478		Candidiasis		9606	Human					Cell wall protein	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB; MU	10417386; 12406223	PubMed		Reduced adhesion to human epithelial cells
PHI:469	Uniprot	Q9UW18	EMBL	AAD47837	SB111	TOXG							5017	Cochliobolus carbonum	5017	164R10	Leaf spot	Monocot	4577	Maize					Alanine racemase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; JA	10671527	PubMed		
PHI:470	Uniprot	O42722	EMBL	AAC01955	JEC21	STE12alpha							5207	Cryptococcus neoformans	5207	B4500 (serotype D) and JEC21 (serotype D)	Cryptococcosis		10090	Mouse					Transcription factor	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	10704467; 9426132 	PubMed		Serotype D
PHI:471	Uniprot	C4YDI6	EMBL	AAB69764	WO1	CDC42							5476	Candida albicans	5476	BWP17	Candidiasis		10090	Mouse					Polarity establishment protein	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption			TKB	12582118	PubMed		GTPase
PHI:472	Uniprot	Q8NID8	EMBL	CAD16675	race 4	AVR2							5499	Cladosporium fulvum	5499		Leaf mold	Dicot	4081	Tomato					Effector protein				Effector (plant avirulence determinant)																mutation			TKB; MU	12139631; 15845874; 12139631	PubMed	10.1126/science.1111404	
PHI:473	Uniprot	Q572D3	EMBL	CAI72345		AVR3a							4787	Phytophthora infestans	4787		Late blight	Dicot	4097	Tobacco					Effector protein				Effector (plant avirulence determinant)																other evidence			TKB; MU	15894622 	PubMed	10.1073/pnas.0500113102	Coexpression of Avr3a and R3a in N. benthamiana results in host cell death
PHI:474	Uniprot	P0CM54	EMBL	AAG13937		CNB1							5207	Cryptococcus neoformans	5207	jEC20 (Serotype D) and JEC21 (Serotype D) 	Cryptococcosis		10090	Mouse					Calcineurin B regulatory subunit	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			TKB; KHK	11251806	PubMed		Serotype D
PHI:475	Uniprot	Q9C1I3	EMBL	AAK15315		RFG1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Transcription regulator	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption			TKB	11259598	PubMed	10.1128/MCB.21.7.2496-2505.2001	
PHI:476	Uniprot	Q9HFT9	EMBL	AAG30205		STE11alpha							5207	Cryptococcus neoformans	5207	WSA-7	Cryptococcosis		10090	Mouse					MAP kinase kinase kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	11298287	PubMed		Serotype D minor reduction in virulence
PHI:477	Uniprot	Q59RB8	EMBL	EAK93039 	SC5314	ICL1							5476	Candida albicans	5476		Candidiasis		10090	Mouse					Isocitrate lyase	GO:0009405, IMP	GO	Glyoxylate cycle	Reduced virulence																gene deletion			TKB; MU	11452311	PubMed	10.1038/35083594	key paper
PHI:478	Uniprot	Q8X1S9	EMBL	AAL55095	521	HGL1							5270	Ustilago maydis	5270	518,521	Corn smut		4577	Maize					Transcription regulator				Unaffected pathogenicity																gene disruption			TKB	11489122	PubMed		No teliospore production by the hgl1 mutant in planta
PHI:479	Uniprot	C5P3X6	EMBL	AAQ07436	C735	MEP1							199306	Coccidioides posadasii	199306	C735	Respiratory disease		10090	Mouse					Metalloproteinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; JA	16177346	PubMed	10.1128/IAI.73.10.6689-6703.2005	SOWgp-immune mice challenged with the MEP1 mutant show increased survival
PHI:480	Uniprot	Q59VH7	EMBL	EAK94461	SC5314	SAP7							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Aspartyl proteinase				Unaffected pathogenicity																gene disruption; complementation			TKB	16177393	PubMed		Vaginal infection 
PHI:480	Uniprot	Q59VH7	EMBL	EAK94461	SC5314	SAP7							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	16177393	PubMed		Intravenous infection
PHI:481	Uniprot	Q5D1P9	EMBL	AAX14039		KLAP1							27357	Colletotrichum acutatum	27357		Anthracnose	Dicot	159033	Lime					Transcription activator				Unaffected pathogenicity																gene disruption; complementation			TKB; MU		Not in PubMed		Key lime flowers
PHI:481	Uniprot	Q5D1P9	EMBL	AAX14039		KLAP1							27357	Colletotrichum acutatum	27357		Anthracnose	Dicot	159033	Lime					Transcription activator	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 		No	Yes	No Data												gene disruption; complementation			TKB; MU		Not in PubMed		Key lime leaves
PHI:482	Uniprot	Q6TFC7	EMBL	AAR01218		LAEA							746128	Aspergillus fumigatus	746128		Aspergillosis		10090	Mouse					Transcription regulator	GO:0009405, IMP	GO		Reduced virulence																gene deletion; complementation			TKB; MU	16151250	PubMed		
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	4073	Chili Pepper					MAP kinase	GO:0009405, IMP	GO		Loss of pathogenicity 						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	4236	Lettuce					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	3635	Cotton					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	260674	Watermelon					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	59895	Artichoke					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene deletion			TKB; MU	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	4081	Tomato					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:483	Uniprot	Q5EKM7	EMBL	AAW71477		VMK1							27337	Verticillium dahliae	27337		Vascular wilt	Dicot	4111	Eggplant					MAP kinase	GO:0009405, IMP	GO		Reduced virulence						Reduced conidiation										gene disruption			TKB	16003535	PubMed		Agrobacterium transformation. FUS3/KSS1 homologue
PHI:484	Uniprot	Q5AA40	EMBL	EAK99541	SC5314	CHS7							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Chitin synthesis	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	16079341	PubMed		
PHI:485	Uniprot	Q9P8U9	EMBL	AAF69680		FTR1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					High affinity iron permease	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption; complementation			TKB	10807578	PubMed		
PHI:486	Uniprot	Q5SE95	EMBL	AAX40989		SIDA							746128	Aspergillus fumigatus	746128		Aspergillosis		10090	Mouse					L-ornithine N5-oxygenase 	GO:0009405, IMP	GO		Loss of pathogenicity 																gene deletion; complementation			TKB	16113265	PubMed		
PHI:488	Uniprot	Q59SR6	EMBL	EAK93583	SC5314	IRS4							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Negative regulator of MAP kinase pathway	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	16151204	PubMed	10.1099/mic.0.27998-0	Intravenously disseminated candidiasis 
PHI:489	Uniprot	Q5K8C9	EMBL	AAW46720	JEC21	TRX1							5207	Cryptococcus neoformans	5207	H99	Cryptococcosis		10090	Mouse					Thioredoxin	GO:0009405, IMP	GO		Reduced virulence								reduced								gene deletion			TKB; SH	16045626	PubMed		
PHI:489	Uniprot	Q5K8C9	EMBL	AAW46720	JEC21	TRX1						PHI:575	5207	Cryptococcus neoformans	5207	H99	Cryptococcosis		10090	Mouse					Thioredoxin	GO:0009405, IMP	GO		Reduced virulence								reduced								gene deletion			SH; KHK	16045626	PubMed		double mutant results in greater reduced virulence than wildtype and TRX1 mutant
PHI:490	Uniprot	Q6B957	EMBL	AAT85969		FRP1							5507	Fusarium oxysporum	5507	f.sp.lycopersici race 2 isolate Fol007	Vascular wilt	Dicot	4081	Tomato					F-box protein	GO:0009405, IMP; GO:0044409, IMP; GO:0009847, IMP	GO		Loss of pathogenicity 		Yes	Yes	No Data												gene disruption; complementation			TKB; AB	16091043	PubMed	10.1111/j.1365-2958.2005.04751.x	
PHI:491	Uniprot	Q59ZY7	EMBL	EAK96144	SC5314	YVH1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Phosphatase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	16000712	PubMed	10.1099/mic.0.27999-0	
PHI:492	Uniprot	Q4G495	EMBL	AAV84614	B05.10	BcPG2							40559	Botrytis cinerea	40559		Grey mold rot	Dicot	4081	Tomato					Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence				Yes												gene deletion			TKB	15998308	PubMed	10.1111/j.1365-313X.2005.02436.x	
PHI:492	Uniprot	Q4G495	EMBL	AAV84614	B05.10	BcPG2							40559	Botrytis cinerea	40559		Grey mold rot	Dicot	3885	Bean					Endopolygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence				Yes												gene deletion			TKB	15998308	PubMed	10.1111/j.1365-313X.2005.02436.x	
PHI:493	Uniprot	F2Z6H2	EMBL	AAT98628		STE11							5478	Candida glabrata	5478		Candidiasis			See Publication					MAP kinase kinase kinase	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB	16110782	PubMed		
PHI:494	Uniprot	Q4WPX2	EMBL	EAL89712	Af293	PPOA						PHI:495; PHI:496	746128	Aspergillus fumigatus	746128		Aspergillosis		10090	Mouse					Fatty acid oxygenase 				Increased virulence (Hypervirulence)																altered gene expression / gene regulation: silencing			TKB	16040966	PubMed	10.1128/IAI.73.8.4548-4559.2005	
PHI:495	Uniprot	E9NYS9	EMBL	ADW65671		PPOB						PHI:494; PHI:496	746128	Aspergillus fumigatus	746128		Aspergillosis		10090	Mouse					Fatty acid oxygenase 				Increased virulence (Hypervirulence)																altered gene expression / gene regulation: silencing			TKB	16040966	PubMed	10.1128/IAI.73.8.4548-4559.2005	
PHI:496	Uniprot	Q4WY82	EMBL	EAL92371	Af293	PPOC						PHI:494; PHI:495	746128	Aspergillus fumigatus	746128		Aspergillosis		10090	Mouse					Fatty acid oxygenase 				Increased virulence (Hypervirulence)																altered gene expression / gene regulation: silencing			TKB	16040966	PubMed	10.1128/IAI.73.8.4548-4559.2005	
PHI:497	Uniprot	Q56R42	EMBL	AAX08139	H99	HOG1							5207	Cryptococcus neoformans	5207	H99, KN99, JEC20, JEC21	Cryptococcosis		10090	Mouse					MAP kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	15728721	PubMed	10.1091/mbc.E04-11-0987	
PHI:498						PBS2							5207	Cryptococcus neoformans	5207	H99, KN99, JEC20, JEC21	Cryptococcosis		10090	Mouse					MAP kinase kinase	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	15728721	PubMed	10.1091/mbc.E04-11-0987	
PHI:499	Uniprot	Q5BUB4	EMBL	AAX19188	2.16	PiBZP1							4787	Phytophthora infestans	4787		Late blight	Dicot	4081	Tomato					b-ZIP transcription factor	GO:0009405, IMP; GO:0044409, IMP; GO:0050879, IMP	GO		Reduced virulence		Yes	Yes	No												altered gene expression / gene regulation: silencing			TKB;KHK	15819621	PubMed		
PHI:500	Uniprot	Q59MV9	EMBL	EAK91807	SC5314	YHB1							5476	Candida albicans	5476	RM1000	Candidiasis		10090	Mouse					NO-scavenging flavohemoglobin	GO:0009405, IMP	GO		Reduced virulence																other evidence			TKB	15189992; 16030247	PubMed	10.1128/EC.3.3.715-723.2004;10.1091/mbc.E05-05-0435	UV mutation
PHI:501	Uniprot	P21264	EMBL	CAA99327		ADE2							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:502	Uniprot	P04046	EMBL	CAA89133	AB972	ADE4							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Amidophosphoribosyltransferase	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:503	Uniprot	P40086	EMBL	AAB64668	S288c (AB972)	COX15							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Cytochrome c oxidase assembly	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:504	Uniprot	P04173	EMBL	CAA42366	S288C	LEU2							4932	Saccharomyces cerevisiae	4932				10090	Mouse					beta-isopropyl-malate dehydrogenase 	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:505	Uniprot	P15801	EMBL	AAA17543		MIP1							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Mitochondrial-specific DNA polymerase catalytic subunit	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:506	Uniprot	P03962	EMBL	AAA34824		URA3							4932	Saccharomyces cerevisiae	4932				10090	Mouse					Orotidine 5'-phosphate decarboxylase	GO:0009405, IMP	GO		Reduced virulence																gene deletion			TKB;KHK	11606528	PubMed		
PHI:507	Uniprot	C4YKT4	EMBL	AAF03566	wo1	CaRAS1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					GTPase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	11722734	PubMed		
PHI:508	Uniprot	Q96VB5	EMBL	BAB69076	NAF8	AFT1							5599	Alternaria alternata	5599		Black spot	Dicot	3747	Strawberry					AF-toxin biosynthesis	GO:0009405, IMP; GO:0044412	GO		Loss of pathogenicity 				Yes												other evidence			TKB;KHK	12019223	PubMed		Loss of AK-toxin production, loss of 1.05 Mb conditional dispensable chromosome
PHI:508	Uniprot	Q96VB5	EMBL	BAB69076	NAF8	AFT1							5599	Alternaria alternata	5599		Black spot	Dicot	23211	Pear					AF-toxin biosynthesis	GO:0009405, IMP; GO:0044412	GO		Loss of pathogenicity 				Yes												other evidence			TKB;KHK	12019223	PubMed		Loss of AK-toxin production, loss of 1.05 Mb conditional dispensable chromosome
PHI:509	Uniprot	Q96VB3	EMBL	BAB69078	NAF8	AFT3							5599	Alternaria alternata	5599		Black spot	Dicot	23211	Pear					AF-toxin biosynthesis	GO:0009405, IMP; GO:0044412	GO		Loss of pathogenicity 				Yes												other evidence			TKB; KHK	12019223	PubMed		Loss of AK-toxin production, loss of 1.05 Mb conditional dispensable chromosome
PHI:509	Uniprot	Q96VB3	EMBL	BAB69078	NAF8	AFT3							5599	Alternaria alternata	5599		Black spot	Dicot	3747	Strawberry					AF-toxin biosynthesis	GO:0009405, IMP; GO:0044412	GO		Loss of pathogenicity 				Yes												other evidence			TKB; KHK	12019223	PubMed		Loss of AK-toxin production, loss of 1.05 Mb conditional dispensable chromosome
PHI:510	Uniprot	Q59RG1	EMBL	EAK93097	SC5314	CaNAG3							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Unknown	GO:0009405, IMP	GO		Reduced virulence																other evidence			TKB	12076781	PubMed		UV mutation
PHI:511	Uniprot	Q59RG0	EMBL	EAK93098	SC5314	CaNAG4							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Unknown	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	12076781	PubMed		
PHI:512	Uniprot	Q9C0L9	EMBL	BAB43823		CaNAG6							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Unknown	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	12076781	PubMed		
PHI:513	Uniprot	Q5A2T6	EMBL	EAK97011	SC5314	ARN1 (SIT1)							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Siderophore transporter				Unaffected pathogenicity																gene disruption; complementation			TKB	12183576	PubMed		Mouse model of systemic infection
PHI:513	Uniprot	Q5A2T6	EMBL	EAK97011	SC5314	ARN1 (SIT1)							5476	Candida albicans	5476	CAI-4	Candidiasis		9606	Human					Siderophore transporter	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	12183576	PubMed		Reconstituted human epithelium 
PHI:514	Uniprot	Q5AJ77	EMBL	EAL03004	SC5314	IRO1							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Unknown	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	16237272	PubMed		Putative transcription factor involved in iron utilisation.  Adjacent to the URA3 gene
PHI:515	Uniprot	Q8NJW8	EMBL	AAL93208	518	UKB1							5270	Ustilago maydis	5270	518, 521	Corn smut		4577	Maize					Serine/threonine kinase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence		No	No	Yes												gene disruption			TKB	12223194	PubMed		Unable to form tumours 
PHI:516	Uniprot	Q9HG20	EMBL	AAG09422	H99	APP1							5207	Cryptococcus neoformans	5207	M001 (H99 strain with ade2 mutation) 	Cryptococcosis		10090	Mouse					Secreted protein. Anti-phagocytic.				Increased virulence (Hypervirulence)																gene disruption; complementation			TKB; KHK	14523045; 16129666	PubMed	10.1172/JCI200318309;10.1074/jbc.M507285200	Mice deficient for T and NK cells (Tgepsilon26)
PHI:516	Uniprot	Q9HG20	EMBL	AAG09422	H99	APP1							5207	Cryptococcus neoformans	5207	M001 (H99 strain with ade2 mutation) 	Cryptococcosis		10090	Mouse					Secreted protein. Anti-phagocytic.	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB; KHK	14523045; 16129666	PubMed	10.1172/JCI200318309;10.1074/jbc.M507285200	Mice deficient for complement C5 (A/Jcr)
PHI:517	Uniprot	G1UBC2	EMBL	EAK95520	SC5314	CaEAP1							5476	Candida albicans	5476	SC5314	Candidiasis		9606	Human					Cell wall adhesin	GO:0009405, IMP	GO		Reduced virulence																gene disruption; complementation			TKB	14665461	PubMed		Human kidney epithelial cell culture
PHI:518	Uniprot	Q7Z8E9	EMBL	AAP93639	Guy11	MST20							318829	Magnaporthe oryzae			Rice blast	Monocot	4530	Rice					PAK kinase	GO:0030437, IMP; GO:0004672, NAS	GO		Unaffected pathogenicity		No	No	No		Reduced		Normal growth rate.								gene deletion			TKB; MU	15141959	PubMed		Partial gene deletion
PHI:519	Uniprot	Q96UH9	EMBL	AAL15449	Guy11	CHM1							318829	Magnaporthe oryzae			Rice blast	Monocot	4530	Rice					PAK kinase	GO:0004672, NAS; GO:0009405, IMP; GO:0044409, IMP; GO:0030437, IMP	GO		Reduced virulence		Yes	Yes	No		Reduced		Reduced								gene deletion; complementation			TKB; MU	15141959	PubMed		
PHI:520	Uniprot	Q5A755	EMBL	EAK98681	SC5314	NOT5							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Transcription regulator	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB	14500538; 16239513	PubMed	10.1128/IAI.73.11.7190-7197.2005	Reduced virulence phenotype depends on the infection method used.
PHI:521	Uniprot	O43117	EMBL	AAB92223	UQ62	CgDN24							5457	Glomerella cingulata (related: Colletotrichum gloeosporioides)	5457	UQ62		Dicot	62615	Stylosanthes					Unknown				Unaffected pathogenicity																gene disruption			TKB; KHK	16255144	PubMed		
PHI:522	Uniprot	Q2KN79	EMBL	AAX78216		GAS1							5507	Fusarium oxysporum	5507	f.sp.lycopersici strain 4287 (race 2)	Vascular wilt	Dicot	4081	Tomato					Beta-1,3-glucanosyltransferase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB; AB		Not in PubMed		Fruit infection
PHI:522	Uniprot	Q2KN79	EMBL	AAX78216		GAS1							5507	Fusarium oxysporum	5507	f.sp.lycopersici strain 4287 (race 2)	Vascular wilt	Dicot	4081	Tomato					Beta-1,3-glucanosyltransferase	GO:0009405, IMP	GO		Reduced virulence																gene disruption			TKB; AB		Not in PubMed		Root infection
PHI:523	Uniprot	G1UAU2	EMBL	AAQ03244		FLO8							5476	Candida albicans	5476	CAI-4	Candidiasis		10090	Mouse					Transcription factor	GO:0009405, IMP	GO		Loss of pathogenicity 																gene disruption			TKB	16267276	PubMed	10.1091/mbc.E05-06-0502	Homozygous disruption.  
PHI:524	Uniprot	Q4U320	EMBL	AAY42143		CLN1							5270	Ustilago maydis	5270	FBD11	Corn smut	Monocot	4577	Maize					G1 cyclin				Unaffected pathogenicity																gene disruption; altered gene expression / gene regulation: overexpression			TKB	16258033	PubMed	10.1105/tpc.105.036319	Solo-pathogenic strain is fully pathogenic
PHI:524	Uniprot	Q4U320	EMBL	AAY42143		CLN1							5270	Ustilago maydis	5270	FBD11	Corn smut	Monocot	4577	Maize					G1 cyclin	GO:0009405, IMP	GO		Loss of pathogenicity 	Yes															gene disruption; altered gene expression / gene regulation: overexpression			TKB	16258033	PubMed	10.1105/tpc.105.036319	Haploid mutants unable to cause disease
